"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2009-04-27",51.34,53.55,50.07,50.49,1301700,42.56
"2009-04-28",49.54,50.83,48.7,49.55,1072100,41.77
"2009-04-29",50.66,52.81,50.52,52.6,1140900,44.34
"2009-04-30",55,55,51.63,52.45,1458300,44.21
"2009-05-01",52.34,53.36,49.07,49.39,1776600,41.63
"2009-05-04",51.2,56.42,50.5,56.29,2487400,47.45
"2009-05-05",56.49,57.15,53.86,54.29,1992100,45.76
"2009-05-06",55.01,58.5,55,57,2144800,48.05
"2009-05-07",58.96,59.43,51.92,52.9,2741000,44.59
"2009-05-08",53.79,55.5,51.83,55.09,2294000,46.44
"2009-05-11",54.53,55.49,51.15,51.28,2221000,43.23
"2009-05-12",51.81,52.94,48.44,50.15,2120300,42.27
"2009-05-13",49.29,49.87,46.25,46.52,2018800,39.21
"2009-05-14",46.45,48.27,45.75,47.99,1781100,40.45
"2009-05-15",47.89,48.27,45.94,46.16,1430200,38.91
"2009-05-18",48.1,48.96,46.99,48.68,1410400,41.03
"2009-05-19",51.69,53.16,50.03,51.19,3247400,43.15
"2009-05-20",51.31,51.44,46.86,47.73,3467200,40.23
"2009-05-21",47.16,47.7,45.44,46.58,2506300,39.26
"2009-05-22",46.89,47.77,46.08,46.73,2881400,39.39
"2009-05-26",46.69,49.26,46.42,49,2419400,41.3
"2009-05-27",49.1,49.49,48.18,48.77,3623700,41.11
"2009-05-28",48.65,49.03,47.53,48.56,2144300,41.53
"2009-05-29",49.09,50.3,48.19,50.3,1503200,43.02
"2009-06-01",51.06,51.6,49.41,50.8,1681800,43.44
"2009-06-02",51.99,52.8,48.7,48.96,2554500,41.87
"2009-06-03",48.74,49.85,48.43,49,1469300,41.91
"2009-06-04",49.21,50.2,48.72,49.67,1534700,42.48
"2009-06-05",50.4,50.4,47.99,48.44,1510500,41.43
"2009-06-08",47.77,49.23,47.01,49.02,1131900,41.92
"2009-06-09",48.93,49.28,47.63,49.21,1147500,42.08
"2009-06-10",49.8,50.23,47.24,47.82,1170700,40.9
"2009-06-11",48.44,50.4,48.04,48.64,1350700,41.6
"2009-06-12",49.76,49.77,48.03,48.86,816200,41.79
"2009-06-15",48.6,49.18,47.06,47.27,774800,40.43
"2009-06-16",47.59,47.93,45.77,45.83,969500,39.19
"2009-06-17",45.69,45.79,43.5,44.75,1202800,38.27
"2009-06-18",44.78,45.88,44.46,45.21,1056600,38.66
"2009-06-19",46.43,46.8,45.08,46.8,1509600,40.02
"2009-06-22",46.28,46.94,44.22,44.22,1390800,37.82
"2009-06-23",44.25,45.32,43.84,44.94,1207700,38.43
"2009-06-24",45.54,46.54,44.85,45.94,1261700,39.29
"2009-06-25",45.01,50.33,45.01,49.67,1925800,42.48
"2009-06-26",48.65,49.7,48.08,49.15,1033800,42.03
"2009-06-29",50,52.49,49.67,51.35,1189800,43.92
"2009-06-30",51.43,52.07,50.5,50.93,892300,43.56
"2009-07-01",51.6,51.6,50.65,51.16,400300,43.75
"2009-07-02",50.64,54,50.64,52.4,1226300,44.81
"2009-07-06",52.19,53.89,51.24,53.52,943600,45.77
"2009-07-07",53.12,53.98,52.31,52.74,870700,45.1
"2009-07-08",53.02,53.49,50.33,51.02,1205600,43.63
"2009-07-09",51.54,52.24,50.7,51.21,767400,43.8
