"","LO.Open","LO.High","LO.Low","LO.Close","LO.Volume","LO.Adjusted"
"2012-12-13",119.78,120.23,118.71,119.61,3897000,37.45
"2012-12-14",119.26,119.96,118.72,119.42,1834200,37.39
"2012-12-17",119.73,120.13,117.87,118.78,2742000,37.19
"2012-12-18",119.21,119.21,114.76,116.09,9291600,36.35
"2012-12-19",116.9,118.15,116.44,117.46,4376400,36.78
"2012-12-20",117.73,118.5,116.98,118.29,2251800,37.04
"2012-12-21",117.71,118.46,116.42,116.89,6130200,36.6
"2012-12-24",116.6,117.19,116.26,116.76,926400,36.56
"2012-12-26",116.5,117.19,115.76,115.94,2222100,36.3
"2012-12-27",115.98,116.34,113.91,114.61,3654000,35.89
"2012-12-28",114.48,116.29,114.26,115.35,2405400,36.12
"2012-12-31",114.86,116.85,114.58,116.67,2567700,36.53
"2013-01-02",118.39,120.73,118.08,120.73,3049200,37.8
"2013-01-03",120.94,120.96,118.71,118.9,3089700,37.23
"2013-01-04",118.92,119.41,117.64,117.87,3438900,36.91
"2013-01-07",117.74,118.04,114.97,115.64,4227600,36.21
"2013-01-08",115.36,115.89,113.85,113.94,5183100,35.68
"2013-01-09",114.3,115.13,113.53,115.01,4378500,36.01
"2013-01-10",115.92,116.22,115.24,116.09,13615200,36.35
"2013-01-11",116.54,117.75,116.52,117.02,4346100,36.64
"2013-01-14",117.09,117.76,116.74,117.06,2944500,36.65
"2013-01-15",116.7,117.8,116.5,117.38,6216600,36.75
"2013-01-16",39.14,39.48,38.77,38.82,1562200,36.47
"2013-01-17",39.01,39.63,38.83,39.46,2271600,37.07
"2013-01-18",39.35,39.51,39.02,39.51,1999400,37.11
"2013-01-22",39.61,39.92,39.46,39.65,2472500,37.25
"2013-01-23",39.59,39.6,39.11,39.23,1754700,36.85
"2013-01-24",39.31,39.73,39.28,39.58,2497600,37.18
"2013-01-25",39.66,40,39.49,39.66,1930600,37.25
"2013-01-28",39.84,39.88,39.27,39.73,2161100,37.32
"2013-01-29",39.76,39.98,39.65,39.7,2048900,37.29
"2013-01-30",39.61,39.78,39.07,39.13,2145200,36.76
"2013-01-31",39.21,39.42,39.03,39.07,2380000,36.7
"2013-02-01",39.31,39.77,39.26,39.52,1859600,37.12
"2013-02-04",39.36,39.51,39.13,39.21,1535100,36.83
"2013-02-05",39.35,39.91,39.28,39.72,2500400,37.31
"2013-02-06",39.63,39.88,39.54,39.72,1332000,37.31
"2013-02-07",39.85,40.21,39.61,40.06,2328100,37.63
"2013-02-08",40.07,40.45,40.07,40.23,1909500,37.79
"2013-02-11",40.17,40.3,40,40.06,1115200,37.63
"2013-02-12",40.05,40.17,38.99,39.72,2710300,37.31
"2013-02-13",40.24,42.47,40.02,41.68,4742600,39.15
"2013-02-14",41.66,41.91,40.74,40.78,3257100,38.31
"2013-02-15",40.94,41.55,40.78,41.46,2075700,38.95
"2013-02-19",41.45,42.43,41.37,42.41,2776000,39.84
"2013-02-20",42.4,42.8,42.13,42.27,2245900,39.71
"2013-02-21",42.29,42.88,42.15,42.76,1892700,40.17
"2013-02-22",42.18,42.39,40.84,41.15,9987100,38.65
"2013-02-25",41.35,41.69,40.79,40.8,10570300,38.33
"2013-02-26",40.78,40.78,39.79,40.05,11154200,37.62
"2013-02-27",39.36,39.44,38.35,38.84,5186200,36.99
"2013-02-28",38.96,39.19,38.53,38.54,4786500,36.71
"2013-03-01",38.34,38.68,38.17,38.2,4968100,36.38
"2013-03-04",38.23,38.53,38.16,38.2,3628000,36.38
"2013-03-05",38.47,38.65,38.2,38.5,11094500,36.67
"2013-03-06",38.61,38.63,38.16,38.28,4076400,36.46
"2013-03-07",38.4,38.43,37.95,38.24,5689900,36.42
"2013-03-08",38.28,38.63,38.01,38.62,3777100,36.78
"2013-03-11",38.7,38.75,38.35,38.41,2672000,36.58
"2013-03-12",38.43,39.14,38.43,39.12,4109900,37.26
"2013-03-13",39.07,39.17,38.61,38.76,4020500,36.92
"2013-03-14",38.94,39.9,38.92,39.66,5054700,37.77
"2013-03-15",39.5,39.69,39.16,39.39,4447200,37.52
"2013-03-18",39.2,39.38,39,39.22,1833200,37.35
"2013-03-19",39.29,39.52,39.08,39.36,1981900,37.49
