"","MON.Open","MON.High","MON.Low","MON.Close","MON.Volume","MON.Adjusted"
"2009-03-31",83.39,84.4,81.71,83.1,5093800,76.7
"2009-04-01",81.22,84.73,80.03,81.74,10611200,75.69
"2009-04-02",85.2,85.75,78.91,81.41,18559000,75.38
"2009-04-03",79.59,81.52,76.98,81.26,13128900,75.24
"2009-04-06",79.93,80,77.9,79.13,6268000,73.27
"2009-04-07",78.49,78.74,77.32,77.83,5689200,72.07
"2009-04-08",77.36,80.85,77,80.2,7743400,74.26
"2009-04-09",82.29,83.4,81.5,82.8,5817500,76.67
"2009-04-13",82.25,83.48,80.7,83.07,4069600,76.92
"2009-04-14",82.68,83.17,81.26,81.55,3771300,75.51
"2009-04-15",81.15,82.32,80.81,82.31,3559800,76.22
"2009-04-16",82.89,82.89,81.03,81.22,4279100,75.21
"2009-04-17",81.45,82,79.95,81.06,5092200,75.06
"2009-04-20",80.08,80.86,77.8,78.41,4528800,72.6
"2009-04-21",78.35,79.63,77.7,79.5,3826500,73.61
"2009-04-22",79.27,80.37,78.37,79.11,4476400,73.25
"2009-04-23",78.91,80.15,77.12,78.31,4463900,72.51
"2009-04-24",79,82.47,78.6,81.12,4929800,75.11
"2009-04-27",79.82,82,79.2,81.2,3325600,75.19
"2009-04-28",80.08,81.99,79.65,81,2705600,75
"2009-04-29",81.5,83.28,81.48,82.75,3535200,76.62
"2009-04-30",83.77,85.39,82.91,84.89,5765200,78.6
"2009-05-01",85.07,85.93,83.66,85.25,3472900,78.94
"2009-05-04",86.5,89.09,85.87,89,5322300,82.41
"2009-05-05",88.65,90.7,88.04,89.85,5788800,83.2
"2009-05-06",90.56,91.4,88.43,89.06,5153900,82.47
"2009-05-07",89.98,89.98,84.92,86.04,8078900,79.67
"2009-05-08",88.18,88.18,85.8,86.42,6449800,80.02
"2009-05-11",84.84,86.23,84.52,85.96,5404900,79.59
"2009-05-12",86.62,90.4,86.22,90.08,8997300,83.41
"2009-05-13",89.01,91.9,88.59,90.89,9502400,84.16
"2009-05-14",90.85,91.6,89.42,90.03,6329900,83.36
"2009-05-15",90.69,91.46,88.67,89.95,6211400,83.29
"2009-05-18",90.48,90.68,87.93,90.22,6164700,83.54
"2009-05-19",89.78,91.41,89.3,89.6,5648000,82.97
"2009-05-20",90.78,93.35,90.2,91.83,6856900,85.03
"2009-05-21",90.61,90.86,88.16,89.29,4901700,82.68
"2009-05-22",87.9,89.29,84.9,86.61,11737700,80.2
"2009-05-26",85.39,87.5,84.78,85.25,7685100,78.94
"2009-05-27",82,82.86,79.67,79.88,21772800,73.97
"2009-05-28",81.25,81.25,78.25,79,12920000,73.15
"2009-05-29",80.14,82.18,79.49,82.15,9833100,76.07
"2009-06-01",83.98,84.35,80.8,81.48,10923900,75.45
"2009-06-02",82.21,82.99,81.03,82.7,7330100,76.58
"2009-06-03",81.46,82.15,80.57,81.5,7026300,75.47
"2009-06-04",81.74,83.17,81.19,82.9,6383600,76.76
"2009-06-05",84.19,85,81.51,81.98,5449700,75.91
"2009-06-08",81.59,83.44,81.06,82.79,4772400,76.66
"2009-06-09",83.26,85.9,82.95,85.07,6451400,78.77
"2009-06-10",85.84,85.98,83.75,85.85,6144800,79.49
"2009-06-11",86.24,87.4,85.06,86.85,6609800,80.42
"2009-06-12",86.55,87.4,85.37,86.54,5279900,80.13
"2009-06-15",85.42,85.54,84.52,84.97,4599600,78.68
"2009-06-16",84.96,85,81.26,81.62,7274100,75.58
"2009-06-17",80.3,82.25,80.1,81.08,6564300,75.08
