"","SWK.Open","SWK.High","SWK.Low","SWK.Close","SWK.Volume","SWK.Adjusted"
"2007-11-05",55.1,55.21,53.46,54.24,1036100,45.43
"2007-11-06",54.3,54.49,53.62,54.38,1187400,45.55
"2007-11-07",53.95,53.95,52.19,52.19,1077500,43.72
"2007-11-08",52.41,53.31,52.41,53.12,1542200,44.49
"2007-11-09",52.61,52.79,51.6,52.05,918900,43.6
"2007-11-12",52.43,53.09,51.57,51.77,893100,43.36
"2007-11-13",52.1,53.33,51.93,53.3,792500,44.64
"2007-11-14",53.45,53.7,52.21,52.27,699400,43.78
"2007-11-15",52.19,52.89,51.44,52.24,922900,43.76
"2007-11-16",52.58,53.04,51.05,51.5,1155700,43.14
"2007-11-19",51.07,51.33,49.56,49.56,1194900,41.51
"2007-11-20",50,50.37,49.29,50.04,1211900,41.91
"2007-11-21",49.75,50.31,49.15,49.65,1290800,41.59
"2007-11-23",49.88,50.16,49.43,49.84,426000,41.75
"2007-11-26",49.67,50.59,49.58,49.77,1193200,41.69
"2007-11-27",50.02,50.74,49.65,50.38,1149800,42.2
"2007-11-28",50.66,51.41,50.3,51.23,994500,42.91
"2007-11-29",51.17,51.53,50.8,51.42,722200,43.07
"2007-11-30",51.66,52.88,51.66,52.15,987300,43.68
"2007-12-03",52.5,52.5,50.87,50.95,943800,42.68
"2007-12-04",50.95,51.01,50.36,50.55,1205900,42.34
"2007-12-05",51.12,51.12,50.09,50.41,869600,42.48
"2007-12-06",50.41,51.15,50.16,51.09,701000,43.06
"2007-12-07",51.29,51.5,50.97,51.16,627400,43.12
"2007-12-10",51.41,51.41,50.84,51.14,485600,43.1
"2007-12-11",51.32,51.54,49.41,49.54,745100,41.75
"2007-12-12",50.75,51.83,50.54,51.13,1780900,43.09
"2007-12-13",51.1,51.34,50.38,51.05,721800,43.02
"2007-12-14",49.4,49.86,48.15,48.93,1392300,41.24
"2007-12-17",48.2,48.28,47.19,47.68,1525300,40.18
"2007-12-18",47.69,48.4,47.27,47.46,1331300,40
"2007-12-19",47.86,47.86,47.01,47.52,869300,40.05
"2007-12-20",48.11,48.78,47.26,47.87,929500,40.34
"2007-12-21",48.51,48.69,48.29,48.55,1023100,40.92
"2007-12-24",48.75,48.78,48.51,48.68,308500,41.03
"2007-12-26",48.7,49.36,48.49,49.13,675400,41.41
"2007-12-27",49.06,49.08,48.41,48.5,614000,40.88
"2007-12-28",48.81,48.83,48.19,48.39,597000,40.78
"2007-12-31",48.12,48.61,48.08,48.48,675900,40.86
"2008-01-02",48.54,48.54,46.29,46.56,1296600,39.24
"2008-01-03",46.62,46.92,45.61,45.77,768100,38.57
"2008-01-04",45.43,45.43,43.69,44.35,1166800,37.38
"2008-01-07",44.69,45.22,44.27,44.84,1041400,37.79
"2008-01-08",46.88,47.28,44.62,44.62,2302400,37.61
"2008-01-09",44.48,45.55,43.93,45.49,2249400,38.34
"2008-01-10",45.17,46.87,45.02,46.46,1626400,39.16
"2008-01-11",46.59,46.67,45.66,46.03,980000,38.79
"2008-01-14",46.48,46.81,46.01,46.6,881700,39.27
"2008-01-15",45.89,46.8,45.79,46.36,928200,39.07
"2008-01-16",45.98,47.34,45.98,46.85,1619900,39.48
"2008-01-17",46.9,47.5,46.23,46.33,1613300,39.05
"2008-01-18",47.24,47.24,45.99,46.63,1445900,39.3
"2008-01-22",44.37,46.56,44.37,46.25,1840500,38.98
"2008-01-23",44.99,46.74,44.5,46.48,3831500,39.17
"2008-01-24",46.42,46.77,45.35,46.06,2041700,38.82
"2008-01-25",46.2,47.31,46.17,46.58,1545100,39.26
"2008-01-28",46.3,48.91,45.75,48.91,1725400,41.22
"2008-01-29",49,49.01,48.16,48.67,742400,41.02
"2008-01-30",48.4,49.93,48.2,48.51,927800,40.88
"2008-01-31",47.84,51.75,47.58,51.36,1769900,43.29
"2008-02-01",51.64,52.18,50.71,51.32,1212600,43.25
"2008-02-04",51.33,51.33,49.7,50.58,1149100,42.63
"2008-02-05",49.79,49.82,48.9,48.97,862500,41.27
"2008-02-06",49.25,49.9,48.59,48.62,821800,40.98
"2008-02-07",48.46,49.63,48.25,49.1,877600,41.38
"2008-02-08",48.9,49.42,48.58,48.73,848100,41.07
"2008-02-11",48.68,49.95,48.13,49.75,806000,41.93
"2008-02-12",49.8,50.28,49.17,49.57,1213200,41.78
"2008-02-13",49.85,50.69,49.59,50.68,817700,42.71
"2008-02-14",50.7,50.85,49.38,49.66,587000,41.85
"2008-02-15",49.5,49.63,48.8,49.41,582400,41.64
"2008-02-19",49.88,50.13,49.36,49.66,834300,41.85
"2008-02-20",49.2,50.61,49.2,50.41,868600,42.48
"2008-02-21",50.54,51.13,49.7,49.85,539700,42.01
"2008-02-22",49.96,50.11,48.98,50.01,848400,42.15
"2008-02-25",49.94,50.8,49.49,50.73,692900,42.75
"2008-02-26",50.36,51.81,50.36,51.42,707700,43.34
"2008-02-27",51.25,51.81,50.97,51.15,640900,43.11
"2008-02-28",50.89,50.99,49.49,49.76,672400,41.94
"2008-02-29",49.14,49.3,48.25,48.54,996300,40.91
"2008-03-03",48.57,48.74,47.6,48.68,615100,41.29
"2008-03-04",48.29,49.01,47.91,48.84,796800,41.43
"2008-03-05",48.76,49.15,47.95,48.6,903900,41.22
"2008-03-06",48.4,48.4,47.51,47.58,853400,40.36
"2008-03-07",47.31,48,46.69,47.02,708400,39.88
"2008-03-10",47.02,47.02,46,46.03,639600,39.04
"2008-03-11",46.57,47.85,46.57,47.85,823800,40.59
"2008-03-12",48.2,48.99,47.45,48.66,1222000,41.27
"2008-03-13",47.96,48.62,47.51,48.46,983300,41.1
"2008-03-14",48.59,48.73,46.7,47.43,1029400,40.23
"2008-03-17",46.39,47.6,46.25,46.69,1143300,39.6
"2008-03-18",47.84,48.16,46.91,48.16,975300,40.85
"2008-03-19",48.67,49,47.34,47.34,1053400,40.15
"2008-03-20",47.08,48.44,47.08,48.25,1031400,40.93
"2008-03-24",48.65,50.03,48.6,49.8,577600,42.24
