"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"2007-10-24",75.5,77.5,70.31,73.47,9701400,68.94
"2007-10-25",72.82,75.45,72.26,74.26,5669300,69.68
"2007-10-26",75.86,76.12,71.86,72.5,5220600,68.03
"2007-10-29",73.11,74.8,72.76,74.48,5312200,69.88
"2007-10-30",73.85,74.5,69.85,70.09,5760300,65.76
"2007-10-31",71.51,73.59,70.6,73.24,6095200,68.72
"2007-11-01",72.05,73.35,70.21,70.35,6746000,66.01
"2007-11-02",72,74.24,70.25,73.99,5521800,69.42
"2007-11-05",72.99,73.7,71.56,73.21,3968800,68.69
"2007-11-06",74.5,78.98,74.5,78.87,5667100,74
"2007-11-07",78.5,79.77,75.06,75.06,5863900,70.43
"2007-11-08",76.22,76.67,70.33,72.54,7591700,68.06
"2007-11-09",70.2,72.98,69.1,71.13,5258700,66.74
"2007-11-12",70.84,70.84,64.02,64.07,8215100,60.12
"2007-11-13",63.85,65.6,63.16,64.9,9279900,60.89
"2007-11-14",66.85,68,65.4,65.87,6612100,61.8
"2007-11-15",65.74,65.83,62.28,63.09,6241000,59.2
"2007-11-16",64.35,64.58,61.05,64.44,10894500,60.46
"2007-11-19",64.09,66.13,63.14,65.35,6262900,61.32
"2007-11-20",65.67,68.49,65.67,67.93,5794900,63.74
"2007-11-21",67,68,65.35,66.16,3596000,62.08
"2007-11-23",66.73,68.17,65.35,68.06,1647000,63.86
"2007-11-26",68.2,69.78,66.66,66.91,5118900,62.78
"2007-11-27",66.42,66.42,62.8,64.61,5539700,60.62
"2007-11-28",64.92,67.32,64.92,66.36,4380500,62.26
"2007-11-29",67.3,70.49,67.3,69.54,5627500,65.25
"2007-11-30",70.51,70.51,67.36,68.15,4247900,63.94
"2007-12-03",67.79,70.97,67.32,70.73,4167600,66.36
"2007-12-04",70.46,71.45,69.4,71.06,3552300,66.67
"2007-12-05",71.91,73.1,70.59,71.78,3558700,67.35
"2007-12-06",71.9,73.84,71.35,73.5,3410100,68.96
"2007-12-07",73.5,73.87,72.07,73.52,2918400,68.98
"2007-12-10",73.87,74.84,73.12,73.92,2799100,69.36
"2007-12-11",74.66,75.4,72.23,72.38,4332000,67.91
"2007-12-12",74.2,75.54,73.43,75.03,4918600,70.4
"2007-12-13",74.8,76.92,74.19,76.65,4312600,71.92
"2007-12-14",76.66,78.34,76.33,77.37,5532500,72.59
"2007-12-17",74.33,74.8,68.13,70.69,18464800,66.33
"2007-12-18",72.36,73.14,68.16,69.7,11266800,65.4
"2007-12-19",70.29,71,69.02,69.29,6791300,65.01
"2007-12-20",70,70.6,68.74,70.33,6464700,65.99
"2007-12-21",71.23,72.98,71.14,72.78,7504800,68.29
