"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2008-02-26",527,534.97,516.25,529.28,3267500,81.07
"2008-02-27",524,534.32,520.87,526.72,2625000,80.68
"2008-02-28",521,524.52,515.28,517.3,3021500,79.24
"2008-02-29",512.95,516.77,505.38,513.3,2921000,78.62
"2008-03-03",511.65,518.96,504.95,517.03,2935000,79.2
"2008-03-04",511.22,513,496.43,503,5229000,77.05
"2008-03-05",503,518.89,503,518.44,4876500,79.41
"2008-03-06",514.88,517.98,504.6,505.45,3357000,77.59
"2008-03-07",502.3,508.98,476.33,491.41,7628000,75.44
"2008-03-10",487.56,491.41,461.25,461.25,6856500,70.81
"2008-03-11",474.35,504.75,470.25,504.5,6917500,77.45
"2008-03-12",500.2,507.93,493.27,498.4,4724500,76.51
"2008-03-13",488.71,509.73,477.73,506.85,5916500,77.81
"2008-03-14",510.41,514.59,479.05,486.05,6864000,74.62
"2008-03-17",468.39,470.01,399.01,449.2,19549000,68.96
"2008-03-18",471.03,475.25,457,473,7977500,72.61
"2008-03-19",468.53,476.41,445.15,449.9,7042000,69.07
"2008-03-20",447.31,472,441.11,472,6606500,72.46
"2008-03-24",474.38,498.92,473.1,488,5005500,74.92
"2008-03-25",488,507.18,482.69,503.21,3711500,77.25
"2008-03-26",498,501.28,487.57,488.93,3393000,75.06
"2008-03-27",491.28,503.9,488.01,489.41,4237000,75.13
"2008-03-28",486.88,496.82,479,479.3,3639000,73.58
"2008-03-31",469.17,473,458,469.1,4734500,72.01
"2008-04-01",474.87,505,473.44,499.99,4737500,76.76
"2008-04-02",500.79,518.04,498.29,508.1,5351000,78
"2008-04-03",505.79,515.89,499.47,513.9,2605000,78.89
"2008-04-04",511.97,516.5,503,510.6,3035500,78.38
"2008-04-07",517.05,526.98,508.78,509,4634500,78.14
"2008-04-08",506,518.88,506,510.7,3564000,78.4
"2008-04-09",512.89,517.2,497.02,499.11,3201000,76.62
"2008-04-10",499.75,506.19,491.64,499.61,2422000,76.7
"2008-04-11",495.39,502.19,488.9,488.9,2502500,75.05
"2008-04-14",495.08,495.08,476.97,477,2713000,73.23
"2008-04-15",479.16,486,476.07,484.49,2578500,74.38
"2008-04-16",487.58,496.9,485.6,496.9,2666000,76.28
"2008-04-17",494.47,498.81,487.29,498.42,2431500,76.51
"2008-04-18",505,512,498.88,503.73,3739500,77.33
"2008-04-21",503.5,524.88,501.01,523.5,3514000,80.36
"2008-04-22",501.55,503.98,460.26,483.5,13700000,74.22
"2008-04-23",485,494,480.5,487.6,5486000,74.85
"2008-04-24",486.31,490.81,479.03,485,3114000,74.45
"2008-04-25",489.96,489.96,477.5,480.9,3066500,73.83
"2008-04-28",481.97,483.28,470,473.42,3758000,72.68
"2008-04-29",470.03,479.19,466.69,475,2947000,72.92
"2008-04-30",476.03,481.72,457.45,457.45,3882000,70.23
"2008-05-01",464.29,481.28,455.08,479.8,4553000,73.66
"2008-05-02",483.6,488.14,480.01,487.39,2837500,74.82
"2008-05-05",485.4,499.52,485.04,489.35,2664000,75.12
"2008-05-06",487,488.75,476.27,484.99,3650000,74.45
"2008-05-07",484.99,488.29,468.72,468.72,3112000,71.96
"2008-05-08",473.99,476.84,464.15,465.32,3128000,71.43
"2008-05-09",464.3,474.29,458.29,461.65,2735000,70.87
"2008-05-12",462.28,467.5,459.12,465.1,2044500,71.4
"2008-05-13",465.63,466.28,454.38,457.65,3325000,70.26
"2008-05-14",458,475,457.01,475,5844500,72.92
"2008-05-15",473.04,482.7,470.73,474.25,4319500,72.8
"2008-05-16",475.5,480.84,473.93,478,3200000,73.38
"2008-05-19",481.96,497.5,478.05,484.05,4012000,74.31
"2008-05-20",482.27,487.28,475.01,484.5,2816000,74.38
"2008-05-21",484,486.95,463.57,464,3360500,71.23
"2008-05-22",463.74,470.68,459.39,464.2,3046000,71.26
"2008-05-23",463.83,467.11,451.5,456.7,2968500,70.11
"2008-05-27",455.03,458.82,445.68,454.15,2115500,69.72
"2008-05-28",455.25,455.5,427.5,437.2,5958000,67.12
"2008-05-29",433.48,443,432.02,437.3,5091500,67.13
"2008-05-30",440.03,443.98,428.76,430.3,3749000,66.06
"2008-06-02",425.04,430,399.61,412.1,9203000,63.26
"2008-06-03",415,422.94,392.38,400.3,11772000,61.45
"2008-06-04",398,398.98,375.38,378,10581500,58.03
"2008-06-05",384.32,404.37,381.01,402.54,10583000,61.8
"2008-06-06",399.7,401.82,387.6,387.6,6256500,59.67
"2008-06-09",389.82,394.98,381.77,389.37,4967000,59.95
"2008-06-10",384.5,397.77,384.48,390.25,4601000,60.08
"2008-06-11",392.03,396.55,385.98,386,4968000,59.43
"2008-06-12",390.75,407.27,390,396.6,4777500,61.06
"2008-06-13",398.13,414.95,398.13,414.9,4496500,63.88
"2008-06-16",413.9,420.42,410.09,419.41,3749500,64.57
"2008-06-17",435.5,450.96,435,441.82,10526000,68.02
"2008-06-18",437.98,448.5,434.64,441.65,5479000,67.99
"2008-06-19",444,447.1,436.81,441.05,4274000,67.9
"2008-06-20",436.27,443.67,428.31,429.26,4872000,66.09
"2008-06-23",439.03,444,428.5,436.95,5325500,67.27
"2008-06-24",429.31,439.54,428.12,433.75,3753500,66.78
"2008-06-25",437.09,439.99,425.2,427.56,5042000,65.82
"2008-06-26",422.04,423.98,406.94,406.95,4997000,62.65
"2008-06-27",410.97,410.97,384,389.5,6099000,59.97
"2008-06-30",393.87,397.49,383.19,383.19,3908500,58.99
"2008-07-01",379.99,380.91,348.74,359.39,14705000,55.33
"2008-07-02",363.89,372.9,350.68,351.08,7181500,54.05
"2008-07-03",355.31,357.21,335.43,345.83,4524500,53.24
"2008-07-07",347.23,356.88,329.79,334.29,6331500,51.47
"2008-07-08",336,344,317.5,342.5,9413000,52.73
"2008-07-09",342.6,345.33,319.39,320.77,6371000,49.38
"2008-07-10",320.99,322.96,305,309.7,11353000,47.68
"2008-07-11",300.53,320,292.61,306.5,14120500,47.19
"2008-07-14",314.25,317.56,295.84,295.84,5768000,45.55
"2008-07-15",293.41,317.87,282,308.55,8261000,47.5
"2008-07-16",301.68,331.02,300.86,331.02,10319000,50.96
"2008-07-17",335,341.94,321.52,334.8,6768000,51.54
"2008-07-18",335.27,340.14,323,332.67,7479500,51.22
"2008-07-21",329,332.35,314.5,325.53,4934000,50.12
"2008-07-22",328.99,367.45,326.67,366.27,8162500,56.39
"2008-07-23",363.52,392.99,360.02,390.62,9511500,60.14
"2008-07-24",385.3,389.8,365.28,367.72,6593500,56.61
"2008-07-25",373.14,377.09,361.04,368.83,3661000,56.78
"2008-07-28",371.17,371.23,348.1,351.05,3909000,54.05
"2008-07-29",355.79,374.18,350.4,374.18,4986000,57.61
"2008-07-30",379.99,384.27,361.82,373.29,4273500,57.47
"2008-07-31",368.97,375,356.19,360.13,3352000,55.44
"2008-08-01",362.5,362.57,326.44,332.94,7031500,51.26
"2008-08-04",329.67,332.2,320.34,322.25,3786000,49.61
"2008-08-05",329.92,338.72,326.13,338.5,5051500,52.11
"2008-08-06",332,347.99,327.53,342.73,4057000,52.76
"2008-08-07",336.8,343.94,327.91,328.49,5053000,50.57
"2008-08-08",328.76,343.43,327.11,342.13,4042000,52.67
"2008-08-11",342.83,357.84,335.44,350.19,4695000,53.91
"2008-08-12",347.05,356.17,335.98,337.66,6530500,51.98
"2008-08-13",337.38,347.9,330,338.48,6089500,52.11
"2008-08-14",336.77,349,335.51,343.92,5220000,52.95
"2008-08-15",347.27,360.95,347.27,357.67,6538000,55.06
"2008-08-18",356.59,359.28,331.34,336.64,7515500,51.83
"2008-08-19",336.7,342.1,331.76,336.55,6736500,51.81
"2008-08-20",338.47,343.42,336.41,341.99,6154000,52.65
"2008-08-21",338.91,344.86,338,342.11,3170500,52.67
"2008-08-22",347.57,365,347.55,357.18,21319500,54.99
"2008-08-25",352.53,353.97,339.28,340.63,4620500,52.44
"2008-08-26",337.41,340,319.73,322.44,7217000,49.64
"2008-08-27",323.62,334.28,312,330.5,8916500,50.88
"2008-08-28",331.76,345.55,331.46,344.49,6183000,53.04
"2008-08-29",341.96,341.96,334.04,335.38,4417000,51.63
"2008-09-02",343.25,344.63,332.03,338.09,5030000,52.05
"2008-09-03",338.18,348.89,335,347.84,6214000,53.55
"2008-09-04",345.5,346.2,324.31,327.65,7055500,50.44
"2008-09-05",325.89,331.75,312.7,328.93,7839000,50.64
"2008-09-08",342.5,352.5,338.5,350.84,10365000,54.2
"2008-09-09",345.24,353.52,325.59,326.18,8299000,50.39
"2008-09-10",334.48,339.34,321.63,332.21,6410000,51.32
"2008-09-11",323.23,342.5,315.32,342.02,6115000,52.84
"2008-09-12",339,350.98,331.49,350.27,5514000,54.11
"2008-09-15",330,351.26,329.99,336.82,8043000,52.04
"2008-09-16",325.01,344.26,325,344.26,8060000,53.19
"2008-09-17",334.29,339,317.29,321.68,8983000,49.7
"2008-09-18",327.38,360,310.8,360,11123000,55.62
"2008-09-19",414,414,367.53,405,13442500,62.57
"2008-09-22",400.02,408.5,393.01,396,7613000,61.18
"2008-09-23",396.66,422.24,370.64,370.65,8407500,61.12
"2008-09-24",376,392.29,359.25,366.77,6436500,60.48
"2008-09-25",378,388.75,368.72,378.86,4403000,62.48
"2008-09-26",375,404.37,375,399,4346500,65.8
"2008-09-29",389.44,395.98,320,320,6684500,52.77
"2008-09-30",351.1,389,343.27,371.51,5147000,61.26
"2008-10-01",363.28,401,361.23,397.75,4882500,65.59
"2008-10-02",399.99,401.9,372.5,373.67,4223000,61.62
"2008-10-03",387.49,402.5,362.3,362.3,6003000,59.75
"2008-10-06",358,405,353.63,403.85,7803000,66.6
"2008-10-07",415,440,395.1,396,11791500,65.3
"2008-10-08",391.99,424,387.57,405.64,6707000,66.89
"2008-10-09",418.89,421,338.66,355.4,13689000,58.61
"2008-10-10",343.27,400.64,331.26,393.12,12296000,64.83
"2008-10-13",403.02,412,366.65,411.44,7956500,67.85
"2008-10-14",415.2,419,386.87,398.4,8904500,65.7
"2008-10-15",388.01,404.49,359.69,359.85,7809500,59.34
