"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2008-05-01",155.5,160,153.28,160,1718700,159.03
"2008-05-02",164.26,166.13,157.25,161.12,2490000,160.14
"2008-05-05",161.08,164,159.01,162.56,1152000,161.57
"2008-05-06",162.29,165.34,160.19,165.15,1284700,164.15
"2008-05-07",165.15,167.28,159.35,159.74,1181700,158.77
"2008-05-08",160.92,163.39,157.67,159.72,1092600,158.75
"2008-05-09",159.37,159.9,155.59,156.56,1035300,155.61
"2008-05-12",156.98,158.96,155.27,158.57,942500,157.61
"2008-05-13",159.97,161.88,157.57,160.7,913200,159.72
"2008-05-14",161.25,162.23,160.07,161.29,794900,160.31
"2008-05-15",160.81,163.35,158,159,1137800,158.03
"2008-05-16",159.58,160.39,153.26,154.51,1626200,153.57
"2008-05-19",155,160.18,152,152.78,1215200,151.85
"2008-05-20",152.19,153.28,149.28,150.6,1234600,149.69
"2008-05-21",151.01,152.33,143.01,143.31,1470000,142.44
"2008-05-22",142.54,144.8,141.78,143.21,999300,142.34
"2008-05-23",143.67,143.75,138.95,142.71,1179300,141.84
"2008-05-27",142.34,142.56,135.58,140.1,1466300,139.25
"2008-05-28",140.58,143.45,137,139.2,1313300,138.35
"2008-05-29",138.34,142.46,137.35,141.4,1249800,140.54
"2008-05-30",141.1,142.5,136.98,138.2,1298000,137.36
"2008-06-02",135.22,137.66,133.04,134.15,1910800,133.34
"2008-06-03",134.08,135.5,128.72,132.13,2239700,131.33
"2008-06-04",130.46,133.28,128.53,129.07,1775400,128.29
"2008-06-05",130.41,136.63,129.4,136.63,1931700,135.8
"2008-06-06",134.36,135.26,128.11,128.11,1658100,127.33
"2008-06-09",129.5,129.77,122.93,127.05,1864100,126.28
"2008-06-10",124.29,128.99,124.29,125.32,1361500,124.56
"2008-06-11",126.04,126.04,116.28,117.12,3798300,116.41
"2008-06-12",118.26,121.6,114.29,116.17,2885500,115.46
"2008-06-13",117.52,123.16,116.53,123,1794800,122.25
"2008-06-16",121.93,124.9,120.83,122.8,1456600,122.05
"2008-06-17",124.21,126.66,121.55,123.11,1748600,122.36
"2008-06-18",122.95,126.09,121.6,124.33,1382400,123.57
"2008-06-19",125.73,132.7,125.08,132.65,2432600,131.84
"2008-06-20",132.25,133.99,129.12,129.68,1798400,128.89
"2008-06-23",130.07,131.64,127.02,128.62,1134900,127.84
"2008-06-24",127.55,129.18,121.68,128.38,1538900,127.6
"2008-06-25",128.36,130.98,127.51,129.22,1770000,128.44
