"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2013-03-25",64.91,65.14,63.19,63.35,3528700,61.96
"2013-03-26",63.74,64,63.36,63.45,3756100,62.06
"2013-03-27",63.01,63.52,62.57,63.37,2227300,61.98
"2013-03-28",63.56,64.15,63.18,63.29,2877400,61.9
"2013-04-01",63.09,63.17,61.56,61.75,3734600,60.4
"2013-04-02",62.43,62.61,59.54,59.84,6255400,58.53
"2013-04-03",59.77,59.8,57.78,58.65,10159800,57.36
"2013-04-04",58.8,59.32,58.61,58.78,3655200,57.49
"2013-04-05",57.67,59.04,57.11,58.98,4232100,57.69
"2013-04-08",59.03,59.1,58.2,58.8,4337600,57.51
"2013-04-09",58.84,60.35,58.69,60.22,3583700,58.9
"2013-04-10",60.42,60.87,59.92,60.77,2354300,59.44
"2013-04-11",60.75,62.13,60.55,61.38,3175700,60.03
"2013-04-12",61.07,61.2,58.67,59.46,4362800,58.16
"2013-04-15",58.64,58.71,55.47,55.51,7147600,54.29
"2013-04-16",56.15,57.55,55.7,57.33,4901800,56.07
"2013-04-17",56.66,56.66,55.42,56.1,6444600,54.87
"2013-04-18",56.24,56.35,55.02,55.81,4929300,54.59
"2013-04-19",56.25,58.01,56.16,57.86,4639600,56.59
"2013-04-22",58.15,59.11,57.37,58.64,2878100,57.35
"2013-04-23",58.89,59.7,58.69,59.34,2779300,58.04
"2013-04-24",59.56,60.56,59.13,60.33,3638700,59.01
"2013-04-25",61.9,63.27,60.77,60.92,4978300,59.58
"2013-04-26",61.99,62.24,58.57,60.14,4348200,58.82
"2013-04-29",60.39,61.64,59.68,61.46,3344900,60.11
"2013-04-30",61.44,61.49,60.48,60.7,3456000,59.37
"2013-05-01",60.55,60.75,57.41,57.54,5845600,56.28
"2013-05-02",57.96,59.47,57.33,58.9,5113500,57.61
"2013-05-03",60.17,61.06,60.07,60.95,4445700,59.61
"2013-05-06",62.59,62.65,61.23,62.65,4331500,61.28
"2013-05-07",62.94,63.8,62.11,63.28,4320500,61.89
"2013-05-08",63.3,63.52,61.91,62.84,3595700,61.46
"2013-05-09",62.66,62.91,61.37,61.47,5334000,60.12
"2013-05-10",61.11,61.61,60.41,61.55,4563000,60.2
"2013-05-13",62.5,62.78,61.34,62.3,5771000,60.93
"2013-05-14",62.07,64.99,61.99,64.64,6491800,63.22
"2013-05-15",64.42,65.36,64.36,64.68,3677600,63.26
"2013-05-16",64.35,66.2,64.28,66.11,5269500,64.66
"2013-05-17",66.34,67.32,65.74,67.32,5283700,65.84
"2013-05-20",67.27,67.45,66.8,66.95,2870000,65.48
"2013-05-21",66.92,67.28,65.81,65.85,4137800,64.41
"2013-05-22",65.59,67.05,64.64,65.07,3481700,63.64
"2013-05-23",64.8,66.22,62.71,65.83,4929900,64.39
"2013-05-24",65.26,65.92,64.85,65.72,2250300,64.28
"2013-05-28",66.74,68.09,66.32,67.18,4458900,65.71
"2013-05-29",66.54,67.08,65.72,66.28,3045700,64.83
"2013-05-30",66.25,67.59,65.84,66.79,3137600,65.82
"2013-05-31",66.61,68.07,66.01,66.65,6467400,65.68
"2013-06-03",66.82,67.37,65.22,67.31,4076400,66.33
"2013-06-04",67.09,68.46,67.09,67.68,4081400,66.7
"2013-06-05",67.41,67.64,65.4,65.68,4468500,64.73
"2013-06-06",65.56,66.58,65.3,66.4,4045600,65.44
"2013-06-07",65.49,65.6,64.62,64.87,7591100,63.93
