"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"2010-08-20",78.68,79.15,77.97,78.82,695700,76.73
"2010-08-23",79.01,79.68,78.43,78.43,398100,76.35
"2010-08-24",77.77,77.77,76,76.58,1464200,74.55
"2010-08-25",76.13,77.64,75.99,77.04,769000,75
"2010-08-26",77.14,77.65,76.46,76.54,772900,74.51
"2010-08-27",76.87,78,76.02,77.98,724400,75.92
"2010-08-30",77.61,78.04,77.18,77.18,557800,75.14
"2010-08-31",77.12,77.18,76.42,76.83,762800,74.8
"2010-09-01",77.36,78.36,77.25,77.97,570800,75.91
"2010-09-02",78.24,78.71,77.8,78.61,598600,76.53
"2010-09-03",78.9,79.37,77.86,78.29,651000,76.22
"2010-09-07",77.85,78.15,77.11,77.73,497400,75.67
"2010-09-08",77.42,77.75,76.55,77.39,973700,75.34
"2010-09-09",78.13,78.15,77.11,77.44,750100,75.39
"2010-09-10",76.49,77.47,75.88,77.31,852100,75.26
"2010-09-13",77.61,77.62,76.19,76.77,1081000,74.74
"2010-09-14",76.56,77.75,76.54,77.45,699600,75.4
"2010-09-15",77.22,79.95,77.22,79.94,1300100,77.83
"2010-09-16",79.24,80.56,79.04,80.53,1152100,78.4
"2010-09-17",80.89,81.25,80.1,80.2,1121600,78.08
"2010-09-20",80.47,81.04,80.34,80.93,677600,78.79
"2010-09-21",80.84,80.84,80.16,80.48,657400,78.35
"2010-09-22",80.63,80.98,79.86,80.11,634900,77.99
"2010-09-23",79.68,80.01,78.72,78.75,834000,76.67
"2010-09-24",79.3,79.95,79.14,79.84,945000,77.73
"2010-09-27",79.85,80.06,79.27,79.96,530800,77.84
"2010-09-28",79.96,81.6,79.68,81.56,797400,79.4
"2010-09-29",81.59,81.99,81.16,81.52,586200,79.36
"2010-09-30",81.7,82.2,80.94,81.43,692900,79.28
"2010-10-01",81.88,82.49,81.11,81.76,661800,79.6
"2010-10-04",81.49,81.94,80.82,81.45,598600,79.3
"2010-10-05",82.09,83.38,82.09,83.2,699800,81
"2010-10-06",83.25,83.6,82.87,82.95,759400,80.76
"2010-10-07",83,83,81.83,82.4,690000,80.22
"2010-10-08",82.57,83.15,82.27,82.98,435000,80.78
"2010-10-11",82.86,83.56,82.79,83.56,392500,81.35
"2010-10-12",83.09,83.78,82.88,83.53,511600,81.32
"2010-10-13",83.72,83.95,83.5,83.58,7e+05,81.37
"2010-10-14",83.62,83.91,83.12,83.62,455000,81.41
"2010-10-15",84.07,84.76,83.65,84.37,740300,82.14
"2010-10-18",84.47,85.24,84.39,85.16,439400,82.91
"2010-10-19",84.49,84.83,83.35,83.84,1042900,81.62
"2010-10-20",84.15,85.3,84.04,84.7,600800,82.46
"2010-10-21",85,85.48,84.56,85.14,910500,83.06
"2010-10-22",84.15,85.55,81.97,83.01,1617200,80.99
"2010-10-25",83.57,84.29,83.43,83.47,594200,81.43
"2010-10-26",83.18,83.86,82.4,83.81,710700,81.77
"2010-10-27",83.19,83.59,82.58,83.48,532500,81.44
"2010-10-28",83.89,83.99,82.79,83.25,387400,81.22
"2010-10-29",83.08,83.22,82.51,83.12,356500,81.09
"2010-11-01",83.32,83.71,82.92,83.54,363800,81.5
"2010-11-02",83.96,84.15,83.75,84.02,480900,81.97
"2010-11-03",84.27,84.53,83.71,84.47,389200,82.41
"2010-11-04",84.97,85.5,84.76,85.49,428100,83.41
"2010-11-05",85.5,85.5,84.49,85,466300,82.93
