"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2013-08-13",58.39,59.19,58,59.09,3180300,58.12
"2013-08-14",59,59.18,58.38,58.79,2358500,58.13
"2013-08-15",58.27,58.43,57.04,57.15,3495300,56.51
"2013-08-16",56.89,56.99,56.07,56.3,3478700,55.67
"2013-08-19",56.28,56.85,55.25,55.34,3212100,54.72
"2013-08-20",55.23,57.69,54.9,57.01,3870800,56.37
"2013-08-21",56.73,58.49,56.3,57.95,3784200,57.3
"2013-08-22",57.98,58.87,57.52,58.11,3009300,57.46
"2013-08-23",58.45,59.24,57.94,58.11,2951800,57.46
"2013-08-26",58.17,59.09,57.88,58.13,2843800,57.48
"2013-08-27",57.71,58,57.09,57.1,2979300,56.46
"2013-08-28",57.2,58.3,57.2,58.03,2220300,57.38
"2013-08-29",57.87,58.47,57.38,57.72,2119000,57.07
"2013-08-30",57.95,58.5,56.95,57.1,2661100,56.46
"2013-09-03",57.76,58.44,57.33,58.11,3045700,57.46
"2013-09-04",57.92,59.32,57.58,59.03,4079400,58.37
"2013-09-05",58.68,59.1,57.79,57.8,3849800,57.15
"2013-09-06",57.91,58.11,56.9,57.42,2800400,56.78
"2013-09-09",57.07,57.92,57.02,57.47,3102600,56.83
"2013-09-10",57.44,57.44,56.68,56.79,3476500,56.15
"2013-09-11",56.83,57.03,56.06,56.93,2597300,56.29
"2013-09-12",56.99,57.34,56.33,56.45,2662700,55.82
"2013-09-13",56.64,57.73,56.57,57.13,2420800,56.49
"2013-09-16",57.62,57.7,56.71,56.83,2521900,56.19
"2013-09-17",56.71,56.8,55.81,56.05,3885000,55.42
"2013-09-18",56.05,57.5,56.02,57.25,3873300,56.61
"2013-09-19",58.34,59.21,57.9,58.15,4667700,57.5
"2013-09-20",58.21,59.3,57.69,57.93,4944400,57.28
"2013-09-23",57.73,57.73,56.9,57.41,3067700,56.77
"2013-09-24",57.24,58.55,57.03,57.77,3430500,57.12
"2013-09-25",57.82,58.55,57.53,58.05,3049500,57.4
"2013-09-26",58.01,59,58.01,58.48,2709400,57.82
"2013-09-27",58.1,58.87,58.1,58.53,3027700,57.87
