"","WAT.Open","WAT.High","WAT.Low","WAT.Close","WAT.Volume","WAT.Adjusted"
"2010-10-11",70.76,71.1,70.66,70.91,264900,70.91
"2010-10-12",70.83,71.85,70.13,71.61,571800,71.61
"2010-10-13",72.15,72.73,72.05,72.46,497000,72.46
"2010-10-14",72.23,72.34,70.74,71.44,602800,71.44
"2010-10-15",71.95,72.4,71.04,72.06,655500,72.06
"2010-10-18",71.91,72.66,71.16,72.46,542400,72.46
"2010-10-19",71.47,71.89,70.46,70.92,643500,70.92
"2010-10-20",71.16,72.9,71.15,72.19,655400,72.19
"2010-10-21",72.36,72.92,71.38,72.36,609300,72.36
"2010-10-22",72.66,72.85,72.07,72.53,557600,72.53
"2010-10-25",73,74.02,72.61,73.26,862600,73.26
"2010-10-26",72.8,73.57,71.79,73.29,995500,73.29
"2010-10-27",72.93,74.21,72.76,74.04,796300,74.04
"2010-10-28",74.5,74.62,73.75,74.38,680000,74.38
"2010-10-29",74.09,74.35,73.66,74.13,591500,74.13
"2010-11-01",74.61,75,74.37,75,886200,75
"2010-11-02",75.55,75.89,74.24,75.55,669800,75.55
"2010-11-03",75.59,75.98,74.95,75.92,799200,75.92
"2010-11-04",76.69,77.35,75.98,77.11,742200,77.11
"2010-11-05",77.16,77.91,77.13,77.88,942100,77.88
"2010-11-08",77.45,77.74,76.71,77.59,721200,77.59
"2010-11-09",77.7,77.85,76.83,77.01,683300,77.01
"2010-11-10",76.96,76.99,75.67,76.53,830000,76.53
"2010-11-11",75.92,77.43,75.6,77.42,693400,77.42
"2010-11-12",76.87,77.17,76.07,76.45,464000,76.45
"2010-11-15",76.76,76.99,76.29,76.36,405900,76.36
"2010-11-16",75.99,76.13,74.8,75.09,889700,75.09
"2010-11-17",75.23,77.23,75.23,76.8,997800,76.8
"2010-11-18",77.5,78.36,77.28,78.11,656700,78.11
"2010-11-19",78.08,78.83,78,78.73,815300,78.73
"2010-11-22",78.47,78.91,77.83,78.73,558200,78.73
"2010-11-23",77.87,77.99,77.03,77.23,595400,77.23
"2010-11-24",77.78,78.72,77.38,78.67,620400,78.67
"2010-11-26",78.03,78.27,77.84,78.01,267800,78.01
"2010-11-29",77.49,77.85,76.38,77.61,469300,77.61
"2010-11-30",76.78,77.72,76.59,76.87,599000,76.87
"2010-12-01",78.06,78.96,78.02,78.71,547600,78.71
"2010-12-02",78.64,79.46,78.43,79.29,570600,79.29
"2010-12-03",78.91,79.53,78.76,79.4,815300,79.4
"2010-12-06",78.95,79.15,78.34,78.39,575400,78.39
"2010-12-07",78.98,79.2,78.53,78.59,600600,78.59
"2010-12-08",78.55,78.72,77.52,77.6,605500,77.6
"2010-12-09",78.1,79.07,77.94,79.05,1103900,79.05
"2010-12-10",80.02,80.75,79.84,80.33,1424100,80.33
"2010-12-13",80.75,81,79.97,80.43,885000,80.43
"2010-12-14",80.5,80.58,79.89,80.05,648100,80.05
"2010-12-15",79.99,80.25,79.32,79.36,912200,79.36
"2010-12-16",79.45,80.66,79.08,80.47,1010900,80.47
"2010-12-17",80.22,80.55,79.98,80.17,962600,80.17
"2010-12-20",80.57,80.84,80.04,80.47,400900,80.47
"2010-12-21",80.85,81,79.92,80.05,385800,80.05
"2010-12-22",80.05,80.05,79.63,79.86,307200,79.86
"2010-12-23",79.66,79.98,79.45,79.58,169800,79.58
"2010-12-27",79.34,79.63,78.74,79.35,213800,79.35
"2010-12-28",79.49,79.57,78.44,78.96,275400,78.96
"2010-12-29",79.04,79.29,78.85,78.92,273800,78.92
"2010-12-30",78.78,78.88,78.26,78.47,308300,78.47
"2010-12-31",78.29,78.42,77.67,77.71,286400,77.71
"2011-01-03",78.3,78.51,78,78.1,611200,78.1
"2011-01-04",78.21,78.28,77.09,77.63,791400,77.63
"2011-01-05",77.41,77.96,77.13,77.79,894500,77.79
"2011-01-06",75.87,76.41,75.81,76.05,1065500,76.05
"2011-01-07",76.03,76.24,74.75,75.21,656500,75.21
"2011-01-10",74.8,75.09,74.27,74.68,847300,74.68
"2011-01-11",74.93,76.51,74.87,76.3,689000,76.3
"2011-01-12",76.61,76.94,76.39,76.75,325100,76.75
"2011-01-13",76.53,76.79,76.19,76.39,405900,76.39
"2011-01-14",76.2,76.61,75.64,76.44,394400,76.44
"2011-01-18",76.43,77.5,76.43,77.41,290100,77.41
"2011-01-19",77.5,77.64,75.12,75.51,757300,75.51
"2011-01-20",75.49,76.34,75.27,75.79,517300,75.79
"2011-01-21",76.46,77.13,76.1,76.25,1128200,76.25
"2011-01-24",76.23,78.72,76.07,78.26,930200,78.26
"2011-01-25",77.81,79.29,77.01,77.99,1283100,77.99
"2011-01-26",78.09,78.16,76.24,76.66,1142900,76.66
"2011-01-27",76.77,78.21,76.77,77.68,989000,77.68
"2011-01-28",77.78,77.91,75.48,76.06,661600,76.06
"2011-01-31",76.12,76.94,75.58,76.39,534700,76.39
"2011-02-01",76.96,77.84,76.39,77.7,752600,77.7
"2011-02-02",77.39,77.73,75.73,75.89,795900,75.89
"2011-02-03",75.63,75.97,74.15,75.54,792900,75.54
"2011-02-04",75.72,75.72,74.19,75.37,979700,75.37
"2011-02-07",75.41,76.38,75.37,76.13,573100,76.13
"2011-02-08",76.58,77.02,76.13,76.85,633800,76.85
"2011-02-09",76.56,77.93,76.31,77.91,829300,77.91
"2011-02-10",77.6,79.77,77.6,79.46,1243800,79.46
"2011-02-11",79.15,79.89,79.02,79.87,955800,79.87
"2011-02-14",79.78,80.42,79.51,80.2,586800,80.2
"2011-02-15",79.97,80.36,79.53,79.9,710100,79.9
"2011-02-16",80.07,80.6,79.88,80.34,723400,80.34
"2011-02-17",80.03,80.6,79.69,80.49,702100,80.49
"2011-02-18",80.66,83.5,80.08,83.38,1595900,83.38
"2011-02-22",82.58,83.79,82.02,82.95,1160900,82.95
"2011-02-23",82.51,83.01,80.29,80.48,1363900,80.48
"2011-02-24",80.68,81.81,80,81.6,1118100,81.6
"2011-02-25",81.85,82.59,81.52,82.44,583200,82.44
"2011-02-28",82.61,83.47,82.33,83.05,719700,83.05
"2011-03-01",83.32,83.68,82.03,82.04,577100,82.04
"2011-03-02",82.02,82.65,81.63,82.43,667000,82.43
"2011-03-03",83.03,85.27,83.03,84.65,929100,84.65
"2011-03-04",84.43,87.47,84.43,87,1453200,87
"2011-03-07",87.13,87.57,85.35,86.01,805900,86.01
"2011-03-08",86.24,87.5,85.92,87.12,534200,87.12
"2011-03-09",86.79,87.22,85.79,86.97,808300,86.97
"2011-03-10",86.1,86.11,84.62,85.01,587000,85.01
"2011-03-11",84.42,85.43,83.81,85.37,451900,85.37
"2011-03-14",84.92,85.81,84.22,84.73,516700,84.73
"2011-03-15",82.5,83.08,81.07,82.7,1655600,82.7
"2011-03-16",82.37,82.56,79.16,80.57,1352500,80.57
"2011-03-17",81.88,82.23,80.74,81.76,971100,81.76
"2011-03-18",82.92,84.83,82.74,83.57,1248800,83.57
"2011-03-21",85.02,85.81,84.58,84.96,556600,84.96
"2011-03-22",85.13,85.6,84.24,84.41,511800,84.41
"2011-03-23",84.06,84.44,83.31,84.07,573100,84.07
"2011-03-24",84.58,84.72,83.77,84.63,421000,84.63
"2011-03-25",84.9,86.04,84.75,85.5,366300,85.5
"2011-03-28",85.77,86.29,85.41,85.53,343800,85.53
"2011-03-29",85.33,86.12,85.14,85.99,391700,85.99
"2011-03-30",86.4,87.39,86.29,86.81,254500,86.81
"2011-03-31",86.65,87.11,86.37,86.9,332500,86.9
"2011-04-01",87.69,88.28,87.19,87.93,374800,87.93
"2011-04-04",88.15,89.09,87.91,89.02,531100,89.02
"2011-04-05",88.86,90.23,88.4,89.72,694900,89.72
"2011-04-06",90.04,90.1,89.33,89.38,531200,89.38
"2011-04-07",89.17,89.35,87.71,88.2,819600,88.2
"2011-04-08",88.55,88.71,87.04,87.65,566300,87.65
"2011-04-11",87.58,88.44,87.47,87.85,472100,87.85
"2011-04-12",87.26,87.98,86.81,87.16,418800,87.16
"2011-04-13",87.55,88.01,86.78,87.55,356500,87.55
"2011-04-14",86.98,87.47,86.69,87.2,369600,87.2
"2011-04-15",87.68,88.63,87.31,87.81,599700,87.81
"2011-04-18",86.77,86.77,85.3,85.96,500300,85.96
"2011-04-19",86.07,86.52,85.62,86.41,416800,86.41
"2011-04-20",87.54,89.72,87.5,89.66,932500,89.66
"2011-04-21",90,91.23,89.82,90.8,495500,90.8
"2011-04-25",90.8,90.9,89.75,90.73,531500,90.73
"2011-04-26",99.17,100,96.32,98.32,1500000,98.32
"2011-04-27",98.33,99.1,97.2,98.31,935500,98.31
"2011-04-28",97.96,98.56,97.71,97.96,875800,97.96
"2011-04-29",98,98.22,97.57,98,746000,98
"2011-05-02",98.62,99.52,98.09,98.29,574700,98.29
"2011-05-03",97.96,98.13,97.18,97.5,681200,97.5
"2011-05-04",97.22,97.59,96.25,96.87,975300,96.87
"2011-05-05",96.42,97.62,95.52,95.65,703000,95.65
"2011-05-06",96.85,98.19,96.16,96.87,571800,96.87
"2011-05-09",96.87,98,96.43,97.8,677700,97.8
"2011-05-10",97.98,98.12,97.3,98.02,632500,98.02
"2011-05-11",97.61,98.14,96.67,97.29,432600,97.29
"2011-05-12",97.13,98.71,96.68,98.43,530000,98.43
"2011-05-13",98.64,99.9,97.1,97.7,426200,97.7
"2011-05-16",97.21,98.04,96.83,97.17,674900,97.17
"2011-05-17",96.89,97.03,94.86,95.98,632500,95.98
"2011-05-18",96.26,98.46,95.92,98.46,725700,98.46
"2011-05-19",98.92,99.94,98.22,99.56,948600,99.56
"2011-05-20",99.14,99.53,98.13,98.73,695700,98.73
"2011-05-23",97.62,97.85,96.59,97.26,690400,97.26
"2011-05-24",97.5,97.66,96.54,97.12,493500,97.12
"2011-05-25",96.7,98.38,96.53,97.58,568600,97.58
"2011-05-26",97.42,98.27,96.78,97.98,863100,97.98
"2011-05-27",98.11,98.68,97.5,97.8,588900,97.8
"2011-05-31",98.59,98.75,97.43,98.56,610500,98.56
"2011-06-01",98.17,98.35,95.9,95.94,604100,95.94
"2011-06-02",96.26,96.48,95.34,96.1,522800,96.1
"2011-06-03",95,95.15,93.97,94.01,756000,94.01
"2011-06-06",93.78,94.26,92.55,92.63,694400,92.63
"2011-06-07",92.88,94.55,92.78,93.9,1175400,93.9
"2011-06-08",93.7,93.73,92.76,92.91,688600,92.91
"2011-06-09",93.25,94.58,92.7,94.19,735400,94.19
"2011-06-10",93.56,93.77,92.19,92.25,498900,92.25
"2011-06-13",91.51,92.85,91.24,91.51,634800,91.51
"2011-06-14",92.49,93.51,92.48,93.17,435200,93.17
"2011-06-15",92.19,93.25,91.05,91.05,1028100,91.05
