"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2012-03-01",391.85,394.75,388,394.1,387700,394.1
"2012-03-02",393.5,394.79,391.98,394.39,303000,394.39
"2012-03-05",394.29,396.64,391.58,392.98,376800,392.98
"2012-03-06",388.4,389.49,386.44,387.3,531600,387.3
"2012-03-07",389.48,393.48,387.09,392.1,299400,392.1
"2012-03-08",393,399.56,392.23,398.18,345800,398.18
"2012-03-09",399.1,400,396.51,398.12,362400,398.12
"2012-03-12",398.98,401.37,395.66,397.52,367000,397.52
"2012-03-13",400.07,400.07,396.44,400.05,307200,400.05
"2012-03-14",400.88,401.52,397.65,400,271600,400
"2012-03-15",400.75,408.31,399.59,407.08,554500,407.08
"2012-03-16",409.77,410.95,405.53,410.91,531700,410.91
"2012-03-19",410.29,414.23,407.15,413.92,376700,413.92
"2012-03-20",411,414.45,409.27,412.87,358500,412.87
"2012-03-21",413.25,417.18,412.97,416.11,398700,416.11
"2012-03-22",414.45,418.81,413.53,418.13,477000,418.13
"2012-03-23",416.71,417.57,411.97,415.51,459900,415.51
"2012-03-26",417.49,425.58,417,424.7,444600,424.7
"2012-03-27",424.82,426.57,421,421.37,527500,421.37
"2012-03-28",422.24,424.4,416.72,420.09,364300,420.09
"2012-03-29",419.11,421.03,415,420.62,342000,420.62
"2012-03-30",424.84,424.84,418,418,348400,418
"2012-04-02",417,421.41,413.54,418.4,381300,418.4
"2012-04-03",417.58,422.43,417.58,422.26,482800,422.26
"2012-04-04",419.23,420.91,411.12,417.04,678900,417.04
"2012-04-05",415.09,424.99,414.97,424.98,539400,424.98
"2012-04-09",420.5,427.13,420.5,426.31,461700,426.31
"2012-04-10",425.08,428.95,414.59,416.62,750100,416.62
"2012-04-11",421.4,426.66,421,422.66,698000,422.66
"2012-04-12",423.97,433.53,423.05,433.22,807900,433.22
"2012-04-13",433.8,442.4,429.02,440.4,948600,440.4
"2012-04-16",439.47,441.78,428.76,432.12,832400,432.12
"2012-04-17",434.95,434.95,429.04,432.43,627300,432.43
"2012-04-18",432.25,440.93,431.99,438.11,500800,438.11
"2012-04-19",439.23,439.42,428.26,430.78,838600,430.78
"2012-04-20",429.48,433.3,416.01,419.26,2031300,419.26
"2012-04-23",413.9,417.66,406.38,417.24,1340800,417.24
"2012-04-24",411.96,414,401.03,402.86,1207800,402.86
"2012-04-25",405.5,413.65,405.03,412.99,583200,412.99
"2012-04-26",412.18,418.49,410.03,414.74,591800,414.74
"2012-04-27",415,421,412.25,419.41,588200,419.41
"2012-04-30",418.47,419.39,412.78,414.15,325300,414.15
"2012-05-01",415.41,424.15,414.59,419.89,501400,419.89
"2012-05-02",417.92,424.41,416.11,422.8,467400,422.8
"2012-05-03",423.3,423.64,413.37,414.74,505000,414.74
"2012-05-04",412.76,413.04,406.3,407.88,713300,407.88
"2012-05-07",405.64,410.6,403.25,407.06,395000,407.06
"2012-05-08",405.25,405.8,392.1,403.43,809200,403.43
"2012-05-09",396,405.73,396,401.78,635700,401.78
"2012-05-10",404.25,409.5,402.67,407.51,560700,407.51
"2012-05-11",404.33,413.29,403.68,408.25,467000,408.25
"2012-05-14",405.8,407.22,399.01,399.92,470300,399.92
"2012-05-15",400.02,407,399.89,403.03,457900,403.03
"2012-05-16",405.1,409.33,402.51,404.53,421500,404.53
"2012-05-17",406.24,407,394.5,394.5,633700,394.5
"2012-05-18",394.42,399.9,390,392.13,574100,392.13
"2012-05-21",391.5,395.38,384.49,393.33,676200,393.33
"2012-05-22",401.35,405.73,391.59,395.56,1147700,395.56
"2012-05-23",394.91,406.41,390.56,405.95,698000,405.95
"2012-05-24",408.04,408.63,397.69,401.61,571700,401.61
"2012-05-25",401.9,404.18,398.63,400.42,370300,400.42
"2012-05-29",403.58,417.9,403.58,417.73,866800,417.73
"2012-05-30",413.95,415.97,410.21,412.6,424400,412.6
"2012-05-31",412.44,413.81,407.36,413.07,384000,413.07
"2012-06-01",404.87,408.94,394,397.14,657000,397.14
"2012-06-04",396.16,397.96,387.87,397.09,486100,397.09
"2012-06-05",394.1,403.36,392.68,401.84,465300,401.84
"2012-06-06",405.65,412.79,405.65,411.21,485600,411.21
"2012-06-07",414.99,414.99,403.31,404.06,490600,404.06
"2012-06-08",401.33,408.19,399.46,407.34,511200,407.34
"2012-06-11",410.3,410.99,398.31,398.35,477000,398.35
"2012-06-12",399.42,402.73,395.5,400.19,432500,400.19
"2012-06-13",397.27,402.95,394.25,395.8,549900,395.8
"2012-06-14",397.6,400.91,393.65,398.25,533800,398.25
"2012-06-15",399.7,404.41,396.41,402.45,801700,402.45
"2012-06-18",401.08,414.46,399,414.46,521600,414.46
"2012-06-19",416.86,419.43,414.89,416.54,375500,416.54
"2012-06-20",416.25,419.69,413.01,417.5,440600,417.5
"2012-06-21",417.75,418,410.01,410.06,371000,410.06
"2012-06-22",412.5,415.75,410.5,415.48,345100,415.48
"2012-06-25",412.01,413.79,409.11,411.85,312900,411.85
"2012-06-26",412.82,416.74,411.36,415.41,283200,415.41
"2012-06-27",414.99,414.99,390.66,391.78,1975400,391.78
"2012-06-28",387.97,387.97,370.19,376.95,1657800,376.95
"2012-06-29",382.01,382.93,373,379.95,1099100,379.95
"2012-07-02",386.03,386.03,376.26,383.46,872400,383.46
"2012-07-03",381.9,382.85,378.04,380.37,311900,380.37
"2012-07-05",379,386.69,379,382.86,453500,382.86
"2012-07-06",378.69,384.5,378.5,383.49,417800,383.49
"2012-07-09",382.14,392.66,381.99,386.7,747400,386.7
"2012-07-10",388.59,391,378.17,379.89,652300,379.89
"2012-07-11",380.58,382.61,375.38,380.47,423200,380.47
"2012-07-12",378.02,384.77,377.19,383.53,512200,383.53
"2012-07-13",383.34,394.16,382.86,392.37,780100,392.37
"2012-07-16",390.44,398.54,390.44,394.34,571100,394.34
"2012-07-17",400,402,394.11,398.91,630600,398.91
"2012-07-18",396.56,399.44,393.03,398.06,381700,398.06
"2012-07-19",397.24,404.59,396.98,403.86,1334300,403.86
"2012-07-20",328.45,335.8,307.2,316.98,9795100,316.98
"2012-07-23",308.11,312.83,301.1,306.01,1817200,306.01
"2012-07-24",302.44,304.78,292.33,294.31,1925500,294.31
"2012-07-25",297.54,300.55,294.88,296.48,932700,296.48
"2012-07-26",300,302.87,289.64,289.86,1145100,289.86
"2012-07-27",290.75,297.12,287.03,296.08,1311700,296.08
"2012-07-30",296.28,298.79,290.03,291.13,926300,291.13
"2012-07-31",291.63,294.99,289.14,292.33,658300,292.33
"2012-08-01",292.87,293.88,280.41,280.67,777400,280.67
"2012-08-02",278.24,286.99,277.26,283.77,911800,283.77
"2012-08-03",288.74,298.67,288.25,297.65,1370800,297.65
"2012-08-06",299.5,299.98,291.81,291.81,700800,291.81
"2012-08-07",294.46,307.28,293.25,304.41,969800,304.41
"2012-08-08",301.5,303.55,297.48,298.05,572300,298.05
"2012-08-09",298.76,301.75,296.47,297.2,386600,297.2
"2012-08-10",296.29,300.08,290.64,295.39,579700,295.39
"2012-08-13",297.35,297.98,291.77,292.77,377100,292.77
"2012-08-14",292.94,298.46,292.76,296.83,568500,296.83
"2012-08-15",296.51,300,293.03,297.98,650800,297.98
"2012-08-16",298.84,304.23,298.09,299.79,705500,299.79
"2012-08-17",301.5,302.09,297.5,299.1,731400,299.1
"2012-08-20",297.58,300.28,295,299,590000,299
"2012-08-21",299.51,302,296.17,296.97,557200,296.97
"2012-08-22",296.83,298.81,296.46,297,312800,297
"2012-08-23",297.3,298.16,291.93,291.99,538300,291.99
"2012-08-24",293.17,296.82,291,295,631300,295
"2012-08-27",294.39,296.82,292.92,292.95,404700,292.95
"2012-08-28",291.94,295.73,290.26,294.07,279800,294.07
"2012-08-29",294.89,296.9,292.39,293.24,336500,293.24
"2012-08-30",292.74,293.31,289.2,290.03,427100,290.03
"2012-08-31",291.75,292.82,286.49,288.64,510100,288.64
"2012-09-04",289.73,289.74,283.68,285.99,455800,285.99
"2012-09-05",287.49,292.84,286.54,288.57,603100,288.57
"2012-09-06",290.77,303,290.77,302.33,943500,302.33
"2012-09-07",303.25,326.49,303.25,326.35,2143700,326.35
"2012-09-10",326.61,337.52,322.43,332.81,1538300,332.81
"2012-09-11",333.56,340.39,330.01,332.51,1175300,332.51
"2012-09-12",333.8,339.5,331.56,337.89,831500,337.89
"2012-09-13",334.33,343.89,334.33,340.8,740700,340.8
"2012-09-14",341.82,343.94,335.08,336.45,879200,336.45
"2012-09-17",338,351.8,338,346.82,1103800,346.82
"2012-09-18",346.06,347.97,340.25,341.54,594900,341.54
"2012-09-19",343.81,346.05,341.56,343.25,470600,343.25
"2012-09-20",342.48,342.48,336.4,338.89,562900,338.89
"2012-09-21",342.37,342.97,335.52,336.4,653000,336.4
"2012-09-24",336.9,337.83,332.54,333.02,393700,333.02
"2012-09-25",335.71,336.89,322.55,323.47,787800,323.47
"2012-09-26",321.69,321.69,312.71,318.81,916700,318.81
"2012-09-27",319.25,323.8,315.53,320.31,691500,320.31
"2012-09-28",319.46,320.86,312.23,317.54,673700,317.54
"2012-10-01",319.58,322.92,314.57,316.13,522500,316.13
"2012-10-02",319.87,319.87,290.15,302.96,3392800,302.96
"2012-10-03",302.38,305,298.01,300.67,941600,300.67
"2012-10-04",302.4,302.4,293.73,294.01,1083200,294.01
"2012-10-05",294.83,295.99,278.01,280.93,2418200,280.93
