"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted"
"2010-11-05",69.44,70,69.4,70,26531700,64.06
"2010-11-08",69.49,70.42,69.46,70.32,23628000,64.35
"2010-11-09",70.29,71.11,70.1,70.63,33938100,65.04
"2010-11-10",70.96,71.16,70.15,71.13,25482400,65.5
"2010-11-11",71,71.9,70.73,71.83,23788900,66.14
"2010-11-12",71.38,71.4,70.43,70.99,24598100,65.37
"2010-11-15",71.01,71.22,70.44,70.48,18779600,64.9
"2010-11-16",69.62,69.82,68.56,68.94,27543400,63.48
"2010-11-17",68.84,69.38,68.56,69.01,17471800,63.55
"2010-11-18",69.65,70.39,69.64,70.31,18322900,64.74
"2010-11-19",70.2,70.59,69.36,70.54,24116400,64.96
"2010-11-22",70.1,70.3,68.79,70.19,18907900,64.63
"2010-11-23",68.8,69.15,68.32,68.98,22672000,63.52
"2010-11-24",69.25,70,69.19,69.88,19335600,64.35
"2010-11-26",69.3,69.43,68.9,69.23,7324600,63.75
"2010-11-29",68.86,69.64,68.3,69.45,20021200,63.95
"2010-11-30",68.55,69.75,68.32,69.56,27524300,64.05
"2010-12-01",70.38,71.55,70.38,71.33,26590200,65.68
"2010-12-02",71.19,71.66,70.95,71.48,21274800,65.82
"2010-12-03",71.01,71.3,70.89,71.19,19457100,65.55
"2010-12-06",71.2,71.6,71.06,71.31,15985400,65.67
"2010-12-07",71.91,72.18,71.42,71.46,23694600,65.8
"2010-12-08",71.87,72.22,71.48,71.85,22654900,66.16
"2010-12-09",72.05,72.14,71.33,72,17971600,66.3
"2010-12-10",72.18,72.18,71.62,72.18,17699500,66.47
"2010-12-13",72.41,72.75,72.07,72.36,21170500,66.63
"2010-12-14",72.23,72.5,71.93,72.18,20625900,66.47
"2010-12-15",71.87,72.31,71.79,71.85,20979000,66.16
"2010-12-16",71.92,72.33,71.57,72.22,18513900,66.5
"2010-12-17",72.11,72.39,71.78,72.17,36761300,66.46
"2010-12-20",72.24,72.5,71.88,72.22,16045800,66.5
"2010-12-21",72.43,72.97,72.23,72.72,21772800,66.96
"2010-12-22",72.94,73,72.65,72.8,14606600,67.04
"2010-12-23",72.94,73.2,72.83,73.2,11390900,67.41
"2010-12-27",72.81,73.3,72.81,73.01,9757200,67.23
"2010-12-28",73.2,73.56,72.96,73.42,14423400,67.61
"2010-12-29",73.41,73.69,73.34,73.37,11797700,67.56
"2010-12-30",73.29,73.51,73.05,73.36,10790400,67.55
"2010-12-31",73.16,73.51,73.02,73.12,15273700,67.33
"2011-01-03",73.72,74.79,73.64,74.55,23320700,68.65
"2011-01-04",74.71,74.95,74.42,74.9,20028500,68.97
"2011-01-05",74.67,74.87,74.14,74.7,16550800,68.79
"2011-01-06",74.9,75.43,74.67,75.18,22525300,69.23
"2011-01-07",75.21,75.9,75.09,75.59,19297700,69.61
"2011-01-10",75.13,75.27,74.58,75.13,20766400,69.18
"2011-01-11",75.02,75.86,75.02,75.69,15805400,69.7
"2011-01-12",75.94,76.62,75.67,76.58,17363000,70.52
"2011-01-13",76.65,76.82,75.98,76.71,20438100,70.64
"2011-01-14",76.67,78,76.5,77.84,23478700,71.68
"2011-01-18",77.79,78.85,77.72,78.71,23883600,72.48
"2011-01-19",78.63,78.93,78.13,78.24,21844100,72.05
"2011-01-20",77.98,78.16,76.77,77.75,29121600,71.6
"2011-01-21",78.21,79.1,78.06,78.98,25084400,72.73
"2011-01-24",78.85,79.18,78.09,78.59,24871600,72.37
"2011-01-25",78.22,78.99,77.93,78.68,21626300,72.45
"2011-01-26",78.71,79.86,78.49,79.66,25555400,73.35
"2011-01-27",79.84,79.98,79.34,79.88,17003500,73.56
"2011-01-28",79.78,79.89,78.87,78.99,26300600,72.74
"2011-01-31",79.92,80.82,79.01,80.68,34514400,74.29
"2011-02-01",81.14,83.96,81.04,83.91,40829600,77.27
"2011-02-02",83.59,83.98,83.26,83.41,18176900,76.81
"2011-02-03",83.06,83.55,82.46,83.44,19647700,76.84
"2011-02-04",83.25,83.52,82.85,83.28,16558300,76.69
"2011-02-07",83.45,84,83.36,83.93,15304300,77.29
"2011-02-08",83.5,83.65,82.64,82.98,17463500,76.81
"2011-02-09",82.44,82.78,81.77,82.55,15890900,76.42
"2011-02-10",81.68,83.31,81.61,83.2,21050500,77.02
"2011-02-11",82.23,83.41,82.23,82.82,15993500,76.67
"2011-02-14",82.07,85.11,81.89,84.91,33108300,78.6
"2011-02-15",84.79,84.89,82.67,82.97,25684600,76.8
"2011-02-16",83.06,83.86,82.86,83.69,16673500,77.47
"2011-02-17",83.97,83.97,83.05,83.88,17853500,77.65
"2011-02-18",83.91,84.5,83.5,84.5,22839500,78.22
"2011-02-22",84.97,86.7,84.73,85.44,32580400,79.09
"2011-02-23",86,88.23,85.47,87.07,38624600,80.6
"2011-02-24",87.2,87.53,85.46,85.97,28577100,79.58
"2011-02-25",85.79,86.24,85.29,85.34,22230300,79
"2011-02-28",85.87,86.56,85.49,85.53,24507000,79.17
"2011-03-01",86.41,86.5,84.7,84.8,23001800,78.5
"2011-03-02",84.59,85.32,83.55,85.08,17423600,78.76
"2011-03-03",85.46,85.95,85.05,85.82,17153500,79.44
"2011-03-04",85.92,86,84.7,85.08,20028600,78.76
"2011-03-07",85.84,86.08,84.69,84.72,18062700,78.42
"2011-03-08",84.6,85.11,83.75,84.6,17658200,78.31
