"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume","NEM.Adjusted"
"2011-05-19",53.59,54.37,53.53,54.06,3447400,49.64
"2011-05-20",54.09,54.81,52.88,54.08,5753800,49.65
"2011-05-23",54.32,55.43,54.05,54.27,6862800,49.83
"2011-05-24",54.5,55.65,54.4,55.21,5827800,50.69
"2011-05-25",55.61,56.25,55.16,55.61,5317300,51.06
"2011-05-26",55.59,56.08,55.04,55.83,4294600,51.26
"2011-05-27",56.12,56.88,56.12,56.39,4288500,51.78
"2011-05-31",56.61,56.86,55.56,56.57,7166400,51.94
"2011-06-01",56,56.7,55.59,55.67,7174400,51.11
"2011-06-02",55.6,56.03,54,55.14,5844400,50.63
"2011-06-03",55,55.48,54.61,54.75,5436500,50.27
"2011-06-06",54.69,54.86,53.02,53.44,10883500,49.07
"2011-06-07",53.63,53.92,52.87,52.94,6178400,48.61
"2011-06-08",52.54,52.78,51.69,52.34,6779100,48.06
"2011-06-09",52.52,53.24,52.1,52.92,4888400,48.59
"2011-06-10",52.5,52.69,51.73,52.1,5474000,47.84
"2011-06-13",51.9,52.61,51.52,51.9,4456000,47.65
"2011-06-14",52.23,52.7,51.95,52.31,5547000,48.21
"2011-06-15",51.81,53.48,51.66,52.31,7162600,48.21
"2011-06-16",52.45,52.78,51.18,51.69,6325400,47.64
"2011-06-17",51.81,52.12,51.1,51.59,7434200,47.55
"2011-06-20",51.42,52.25,51.41,51.82,4053400,47.76
"2011-06-21",52.06,53.45,52.05,53.3,5319500,49.13
"2011-06-22",53.31,54.64,53.22,54.09,7211700,49.86
"2011-06-23",53.05,54.04,52.73,53.98,5654800,49.75
"2011-06-24",54.15,54.19,52.23,52.27,8958000,48.18
"2011-06-27",51.9,52.8,51.7,52.32,3888300,48.22
"2011-06-28",52.47,52.89,52.03,52.76,4177600,48.63
"2011-06-29",53,54.1,52.96,53.52,6258900,49.33
"2011-06-30",53.63,54.11,53.35,53.97,4097800,49.74
"2011-07-01",53.73,53.78,52.75,53.74,4597400,49.53
"2011-07-05",54.31,54.86,54.02,54.37,5187000,50.11
"2011-07-06",54.78,55,53.68,54.55,6132800,50.28
"2011-07-07",54.57,55.59,54.57,54.97,6651600,50.67
"2011-07-08",55.11,55.6,54.4,54.76,4143600,50.47
"2011-07-11",54.24,55.16,54.06,54.25,4344800,50
"2011-07-12",54.22,55.92,54.15,55.32,7191300,50.99
"2011-07-13",55.93,57.49,55.66,56.77,8484600,52.33
"2011-07-14",57.32,57.32,56.42,56.75,5473700,52.31
"2011-07-15",56.92,57.63,56.77,57.38,5183300,52.89
"2011-07-18",58.08,59,57.68,58.09,7503900,53.54
"2011-07-19",58.26,58.34,57.24,57.75,5554900,53.23
"2011-07-20",57.39,58.23,56.76,58.02,4749300,53.48
"2011-07-21",58.31,58.65,57.75,58.51,5244000,53.93
"2011-07-22",58.73,58.93,58.17,58.66,4155200,54.07
"2011-07-25",59.13,59.57,58.23,58.41,5580100,53.84
"2011-07-26",58.49,59.09,58.05,58.38,4511100,53.81
"2011-07-27",58.78,59.09,57.14,57.32,7817900,52.83
"2011-07-28",58.37,59.02,57.12,57.73,6053900,53.21
"2011-07-29",56.37,57.43,55.37,55.61,10222000,51.26
"2011-08-01",55.62,56.14,55,55.33,6529400,51
"2011-08-02",55.61,56.85,55.2,56.13,7399300,51.74
"2011-08-03",56.35,58.05,56.35,57.12,9131600,52.65
"2011-08-04",57.18,57.69,54.2,54.44,13339800,50.18
"2011-08-05",54.77,56.52,53.38,54.41,12902000,50.15
"2011-08-08",55.99,57.36,54.06,54.13,16853200,49.89
"2011-08-09",55,55.44,52.92,55.4,15342700,51.06
"2011-08-10",56.27,57,54.88,55.81,15745400,51.44
"2011-08-11",55.8,58.53,55.34,58.3,12421800,53.74
"2011-08-12",57.16,57.76,56.61,57.44,8706000,52.94
"2011-08-15",57.58,59.13,56.5,59.02,7209300,54.4
"2011-08-16",58.86,59.95,58.32,58.72,6993100,54.12
"2011-08-17",58.98,59.87,58.72,59.06,4389500,54.44
"2011-08-18",59.51,59.95,58.05,58.42,8280400,53.85
"2011-08-19",59.43,60.81,59.43,60.08,9001600,55.38
"2011-08-22",61,63.55,60.87,62.86,10455300,57.94
"2011-08-23",61.61,62.36,60.3,61.25,10680400,56.45
"2011-08-24",61.26,61.47,58.81,60.26,11700700,55.54
"2011-08-25",58.92,61.1,57.9,60.83,7779000,56.07
"2011-08-26",60.7,62.17,59.46,62.17,5934600,57.3
"2011-08-29",62.57,62.6,61.02,62.15,4952200,57.28
"2011-08-30",62.58,63.46,62.02,63.13,7469000,58.19
"2011-08-31",63.19,63.65,61.96,62.62,9886600,57.72
"2011-09-01",62.45,63.17,61.76,62.47,6029700,57.58
"2011-09-02",63.63,64.64,63.22,64.47,10163500,59.42
"2011-09-06",64.6,65.77,63.81,64.51,10378400,59.74
"2011-09-07",63.36,63.83,61.71,63.81,10033300,59.09
"2011-09-08",65.72,66.39,65.12,65.66,9297800,60.8
"2011-09-09",65.28,66.61,64.67,65.26,8227300,60.43
"2011-09-12",64.55,64.74,62.23,64.07,8063100,59.33
"2011-09-13",63.83,64.82,62.36,64.27,8357100,59.52
"2011-09-14",64.14,64.49,63.25,64.17,7624500,59.42
"2011-09-15",63.22,64.31,62.32,64.29,6348800,59.53
"2011-09-16",64.46,65.78,64.25,65.72,7531500,60.86
"2011-09-19",66.16,67.37,66,66.27,7749200,61.37
"2011-09-20",66.23,71.25,66.1,69.9,15162700,64.73
"2011-09-21",68.9,70.23,67.59,67.68,8669300,62.67
"2011-09-22",64.36,65.8,63.64,65.24,10166300,60.41
"2011-09-23",63.11,63.49,61.1,62.86,11923700,58.21
"2011-09-26",61.97,64.59,61.53,64.39,7917800,59.63
"2011-09-27",66.45,66.54,63.01,63.45,8549600,58.76
"2011-09-28",63.48,64.62,61.45,61.53,6453100,56.98
