"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2008-05-15",67.89,68.44,67.3,68.02,5750400,31.02
"2008-05-16",68.27,68.27,66.81,67.53,4151600,30.8
"2008-05-19",67.53,68.65,67.19,67.78,4850600,30.91
"2008-05-20",67.2,68.16,66.71,67.04,7450800,30.58
"2008-05-21",67.11,67.35,64.86,65.13,5607400,29.7
"2008-05-22",65.09,65.49,64.59,65.01,5391600,29.65
"2008-05-23",64.89,65.29,64.08,64.77,4013600,29.54
"2008-05-27",64.92,66.68,64.12,66.02,5182200,30.11
"2008-05-28",66.59,68.07,66.59,67.38,6321400,30.73
"2008-05-29",67.39,68.87,66.93,68.39,5868800,31.19
"2008-05-30",68.72,68.88,67.16,68.37,5208000,31.18
"2008-06-02",68.27,68.27,66.02,67.14,5790000,30.62
"2008-06-03",67.51,67.72,66.3,66.97,5574400,30.54
"2008-06-04",66.97,68.4,66.73,67.94,7070200,30.99
"2008-06-05",68.05,70.28,67.75,70.07,9774400,32.07
"2008-06-06",69.36,69.58,67.93,67.93,6410000,31.09
"2008-06-09",67.87,68.89,67.22,68.58,6835800,31.38
"2008-06-10",68.03,69,68,68.48,7692600,31.34
"2008-06-11",68.53,68.53,67.34,67.44,9116600,30.86
"2008-06-12",67.66,68.6,66.46,66.78,6058000,30.56
"2008-06-13",67.09,69.72,67.09,68.99,6795400,31.57
"2008-06-16",68.84,68.86,67.88,68.38,6398200,31.29
"2008-06-17",69.2,69.2,67.77,68,6515000,31.12
"2008-06-18",67.7,68.95,67.45,67.88,6350200,31.06
"2008-06-19",68.05,68.48,67.02,67.84,5905200,31.05
"2008-06-20",67.23,67.5,65.86,66.73,8490200,30.54
"2008-06-23",67.03,67.78,66.54,66.9,6478400,30.61
"2008-06-24",67.08,67.39,65.91,65.97,7387600,30.19
"2008-06-25",66.25,67.51,65.82,65.97,9592200,30.19
"2008-06-26",60.85,62,57.63,59.5,37055200,27.23
"2008-06-27",59.72,61.83,59.04,60.34,15276000,27.61
"2008-06-30",60.46,60.55,59.49,59.61,9893400,27.28
"2008-07-01",59.6,59.64,57.63,58.99,14914600,27
"2008-07-02",59.33,59.92,57.98,58.09,9751800,26.58
"2008-07-03",58.29,59.44,57.41,58.52,4953200,26.78
"2008-07-07",58.56,59.22,55.52,56.46,16538200,25.84
"2008-07-08",56.39,58.36,55.64,58.32,9631600,26.69
"2008-07-09",58.1,58.1,56.57,56.95,12565400,26.06
"2008-07-10",56.85,56.95,55.02,55.67,10977000,25.48
"2008-07-11",55.14,56.87,54.64,56.26,12715400,25.75
"2008-07-14",57.04,57.31,55.6,55.81,8183200,25.54
"2008-07-15",56.68,58.16,55.69,57.64,11167400,26.38
"2008-07-16",57.59,58.36,56.4,58.16,12240200,26.62
"2008-07-17",58.52,58.77,56.93,58.56,12987400,26.8
"2008-07-18",58.73,58.78,56.32,58.2,8230200,26.63
"2008-07-21",57.26,57.88,56.48,57.51,5943400,26.32
"2008-07-22",57.22,58.67,56.64,58.67,7631400,26.85
"2008-07-23",58.57,60.43,58.5,59.2,7569400,27.09
"2008-07-24",59.34,59.94,57.92,58.13,6775800,26.6
"2008-07-25",58.48,58.97,57.58,58.17,6188000,26.62
"2008-07-28",58.13,58.9,57.23,57.24,5119800,26.19
"2008-07-29",57.1,59.24,57.1,59.06,4719800,27.03
"2008-07-30",59.3,60.41,58.69,59.68,5161000,27.31
"2008-07-31",59.75,60.23,57.91,58.68,5437000,26.85
"2008-08-01",58.42,59.79,57.75,59.4,6315400,27.18
"2008-08-04",59.61,60.18,58.79,59.78,4925200,27.36
"2008-08-05",60.11,61.58,59.53,61.58,9044000,28.18
"2008-08-06",61.49,62.55,60.4,62.19,9371200,28.46
"2008-08-07",61.6,61.6,60.04,60.85,8754400,27.85
"2008-08-08",61.06,63.29,60.5,62.95,5937600,28.81
"2008-08-11",63.02,64.8,62.33,63.27,6904800,28.95
"2008-08-12",62.71,63.4,61.6,62.1,6404200,28.42
"2008-08-13",62.43,62.65,60.94,61.97,4133200,28.36
"2008-08-14",61.69,62.85,61.34,62,5069200,28.37
"2008-08-15",62.02,62.89,61.9,62.29,5559400,28.51
"2008-08-18",62.5,62.75,61.35,61.65,3239400,28.21
"2008-08-19",61.21,61.52,60.77,61.03,3689600,27.93
"2008-08-20",61.09,61.4,60.11,60.66,6328200,27.76
"2008-08-21",60.1,60.73,59.26,60.59,5427800,27.73
"2008-08-22",60.98,62,60.91,61.11,4888800,27.97
"2008-08-25",60.66,61.26,59.42,59.71,5101000,27.32
"2008-08-26",59.79,59.87,58.75,58.92,5981200,26.96
"2008-08-27",59.1,59.8,58.7,59.67,4621600,27.31
"2008-08-28",59.92,61.54,59.8,61.22,4632600,28.02
"2008-08-29",61.18,61.34,60.52,60.61,3322400,27.74
