"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2011-05-09",84.91,85.17,84.49,84.98,3274600,39.81
"2011-05-10",85.03,85.63,85.03,85.46,3917200,40.04
"2011-05-11",85.09,85.59,84.83,85.07,4254400,39.85
"2011-05-12",85.02,87.46,84.81,87.21,7400000,40.86
"2011-05-13",86.88,87.14,86.3,86.55,5354600,40.55
"2011-05-16",86.58,86.82,85.91,85.95,4838400,40.27
"2011-05-17",85.7,86.52,85.7,86.27,4063400,40.42
"2011-05-18",86.3,86.43,85.54,86.21,4759000,40.39
"2011-05-19",86.35,86.95,86.15,86.9,3589800,40.71
"2011-05-20",86.78,86.99,86.45,86.55,3543400,40.55
"2011-05-23",86.19,86.57,85.67,86.07,4220800,40.32
"2011-05-24",86,86.06,85.35,85.6,3033200,40.1
"2011-05-25",85.08,85.23,84.46,85.08,4389200,39.86
"2011-05-26",84.86,85.58,84.58,85.32,3827600,39.97
"2011-05-27",85.57,85.88,85.3,85.72,2344600,40.16
"2011-05-31",86.18,87.58,86,87.53,6172200,41.01
"2011-06-01",87.05,87.31,86.77,86.91,5999800,40.72
"2011-06-02",86.85,86.85,85.18,85.48,5045600,40.05
"2011-06-03",84.64,85,83.92,84.11,5099200,39.4
"2011-06-06",84.11,84.79,83.85,84.43,4025800,39.55
"2011-06-07",84.37,84.66,83.89,83.89,4422600,39.3
"2011-06-08",83.96,84.42,83.61,84.21,4298400,39.45
"2011-06-09",84.44,85.38,84.35,85.1,4473600,39.87
"2011-06-10",84.1,85.03,83.91,84.7,6594200,39.68
"2011-06-13",85.34,85.55,84.3,85.34,6105200,39.98
"2011-06-14",85.53,86.86,85.35,86.6,6611400,40.57
"2011-06-15",86.17,86.74,85.45,85.76,5845800,40.18
"2011-06-16",86.06,86.73,85.79,86.57,5717000,40.56
"2011-06-17",86.9,88.02,86.65,87.88,8481600,41.17
"2011-06-20",87.93,89.28,87.8,89.11,7005000,41.75
"2011-06-21",89.36,89.36,88.27,88.92,6509800,41.66
"2011-06-22",88.74,89.13,87.49,87.53,5510600,41.01
"2011-06-23",86.96,86.96,85.38,86.21,8119000,40.39
"2011-06-24",86.09,86.52,85.23,85.46,6827800,40.04
"2011-06-27",85.63,85.83,85.41,85.41,4582600,40.01
"2011-06-28",85.79,85.96,85.54,85.82,3188600,40.21
"2011-06-29",86.06,86.91,85.99,86.74,4652800,40.64
"2011-06-30",86.69,87.53,86.4,87.41,3861600,40.95
"2011-07-01",87.32,88.61,87.15,88.47,4042400,41.45
"2011-07-05",88.58,88.68,87.64,87.98,4290600,41.22
"2011-07-06",87.69,88.42,87.66,88.42,4055400,41.42
"2011-07-07",88.86,89.03,88.55,88.78,3319000,41.59
"2011-07-08",88.34,88.75,87.83,88.42,3548800,41.42
"2011-07-11",87.87,88.67,87.74,88.3,4276000,41.37
"2011-07-12",88.49,88.88,87.85,87.95,4624800,41.2
"2011-07-13",88.35,88.75,87.74,87.9,2664200,41.18
"2011-07-14",87.88,88.03,86.9,87.08,5098200,40.8
"2011-07-15",87.01,89.1,86.67,89.01,8058600,41.7
"2011-07-18",88.45,88.89,87.62,87.99,4148000,41.22
"2011-07-19",88.23,88.8,87.88,88.52,3779800,41.47
"2011-07-20",88.47,88.91,88.26,88.56,2769600,41.49
"2011-07-21",89.01,89.43,88.57,89,3847000,41.7
"2011-07-22",88.28,88.42,87.45,87.62,3446000,41.32
"2011-07-25",86.95,87.32,86.71,86.78,3677600,40.92
"2011-07-26",86.78,87.5,86.69,86.89,2804200,40.97
"2011-07-27",86.39,86.82,85.42,85.49,5197000,40.31
"2011-07-28",85.08,86.33,84.64,84.88,5712800,40.03
"2011-07-29",84.68,85.3,84.34,84.38,4304800,39.79
"2011-08-01",84.97,85.05,82.97,84.02,4906200,39.62
"2011-08-02",83.83,85.3,83.77,84.78,7853600,39.98
"2011-08-03",84.46,84.58,83.64,84.32,6139000,39.76
"2011-08-04",83.5,84.88,82.43,82.58,9213200,38.94
"2011-08-05",83.31,84.83,81.87,84.15,9120800,39.68
"2011-08-08",82.78,84.82,82.51,82.8,12356800,39.05
"2011-08-09",83.43,83.48,78.62,83.3,14092800,39.28
"2011-08-10",82.19,82.99,79.98,80.18,10443600,37.81
"2011-08-11",80.95,85.14,80.56,84.17,11204600,39.69
"2011-08-12",84.54,85.86,84.32,85.34,5925000,40.24
"2011-08-15",85.89,86.26,85.09,86.26,5299200,40.68
"2011-08-16",85.65,86.86,85.44,86.22,4065200,40.66
"2011-08-17",86.5,87.08,85.49,86.31,3630000,40.7
"2011-08-18",84.98,85.88,83.53,85.04,7562200,40.1
"2011-08-19",84.3,85.86,84.06,84.99,8272200,40.08
"2011-08-22",86.06,86.19,84.81,85.2,4744600,40.18
"2011-08-23",85.22,87.01,85.15,87.01,4991400,41.03
"2011-08-24",86.91,87.48,86.34,87.3,6631600,41.17
"2011-08-25",87.71,88.1,86.56,86.85,5548800,40.96
"2011-08-26",86.62,88.02,85.04,87.84,4417400,41.42
"2011-08-29",88.42,89.8,88.28,89.77,4597800,42.33
"2011-08-30",89.78,90.9,89,90.64,4772000,42.74
"2011-08-31",90.65,90.99,89.64,89.97,6008400,42.43
"2011-09-01",90,90.81,89.61,89.9,4504600,42.39
"2011-09-02",89.35,89.65,88.49,88.52,4411400,41.74
"2011-09-06",86.92,89.15,86.92,88.99,6368800,41.96
"2011-09-07",89.83,91.82,89.71,91.81,6716600,43.29
"2011-09-08",91.21,92,90.4,90.46,7282000,42.66
"2011-09-09",89.98,90.14,88.63,88.96,5230600,41.95
