"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"2008-11-24",111.98,117.45,106.82,116.13,911700,100.46
"2008-11-25",119.87,120.89,112.41,117.43,647600,101.59
"2008-11-26",114.75,125.61,114.32,124.73,284400,107.9
"2008-11-28",123.5,125.75,122.75,125.71,101000,108.75
"2008-12-01",120.6,121.49,106.81,107.06,580900,93.19
"2008-12-02",108.55,113.56,104.8,113.36,602400,98.68
"2008-12-03",109,121.85,108.4,121.8,503900,106.03
"2008-12-04",119.15,122.9,114.06,115.74,470600,100.75
"2008-12-05",114.31,128.53,113,128.31,601300,111.69
"2008-12-08",129.97,138.77,129.3,138.13,601900,120.24
"2008-12-09",133.6,137.29,130.92,133.12,693000,115.88
"2008-12-10",132.52,135.36,129.58,132.72,423000,115.53
"2008-12-11",130.84,134.55,118.08,118.66,615400,103.29
"2008-12-12",114.08,121.18,114.08,120.16,473100,104.6
"2008-12-15",118.8,119.51,113.83,115.8,252500,100.8
"2008-12-16",117.67,129.22,117.67,129.22,1020500,112.49
"2008-12-17",126.22,131.63,123,130.34,552600,113.46
"2008-12-18",133.43,135.63,125.43,127.21,684900,110.74
"2008-12-19",128.5,136.74,126.85,136.41,635200,118.74
"2008-12-22",136,136.32,130.54,133.29,283900,116.03
"2008-12-23",134.32,134.32,127.65,128.93,574900,112.23
"2008-12-24",127.95,129.74,126.59,128.25,298200,111.64
"2008-12-26",128.75,128.75,124.13,126.4,212600,110.03
"2008-12-29",125.82,125.82,120.88,124.2,591700,108.12
"2008-12-30",125.75,129.69,123.21,129.68,480700,112.89
"2008-12-31",130.05,135.07,129.05,134.15,541800,116.78
"2009-01-02",133,140,129.21,139.12,687800,121.1
"2009-01-05",138,143.32,137.46,138.78,692900,120.81
"2009-01-06",140,142,137.98,139.84,776400,121.73
"2009-01-07",138.99,139,129.98,130.79,963700,113.85
"2009-01-08",130.1,134.16,126.58,133.13,704600,115.89
"2009-01-09",134,134,126.47,127.3,494700,110.81
"2009-01-12",127.02,127.64,121.6,123.53,492500,107.53
"2009-01-13",123.15,128.89,122.41,126.99,515600,110.54
"2009-01-14",123.97,124.13,118.28,119.6,483500,104.11
"2009-01-15",118.95,120.8,112.49,116.67,606100,101.56
"2009-01-16",119,120.27,113.32,117.16,699400,101.99
"2009-01-20",113.92,114.32,102.75,103.44,1897000,90.04
"2009-01-21",98.25,109.35,96.19,108.5,3231600,94.45
"2009-01-22",104.59,109.23,99.92,107.27,1462800,93.38
"2009-01-23",103.2,112.74,103.08,111.85,678500,97.36
"2009-01-26",114.2,115.44,105.67,107.05,674400,93.19
"2009-01-27",108.14,109.32,103.15,108.39,594400,94.35
"2009-01-28",110.73,120.09,110.73,119.5,878900,104.02
"2009-01-29",116,117.92,107.84,108.33,787300,94.3
"2009-01-30",109,110.87,106.9,108.8,749300,94.71
"2009-02-02",106.64,111.88,105.53,110.46,465800,96.15
"2009-02-03",111.17,112.36,106.92,109.26,594300,95.11
"2009-02-04",107.42,115.74,106.25,113.81,838400,99.07
"2009-02-05",111,118.27,110.97,116.28,759000,101.22
"2009-02-06",115.6,123.27,115.55,122.49,691400,106.63
"2009-02-09",121.47,121.63,117.79,118.82,551400,103.43
"2009-02-10",117.03,121.19,112.93,113.95,851500,99.19
"2009-02-11",111.5,115.99,110.72,114.06,791500,99.29
"2009-02-12",112.72,114.56,109.09,113.98,547700,99.22
"2009-02-13",112.98,114.52,110.63,111.61,398900,97.16
"2009-02-17",109.8,109.8,105.01,105.4,477800,91.75
"2009-02-18",109.3,109.3,102.91,106.55,463900,92.75
"2009-02-19",103.9,108.68,102.28,102.94,637700,89.61
"2009-02-20",100.26,105.15,98.63,103.07,1572300,89.72
"2009-02-23",104.2,104.61,97,97.87,897500,85.2
"2009-02-24",99.9,107.64,98.3,107.05,943900,93.19
"2009-02-25",106.05,108.54,101.61,105.57,805100,91.9
"2009-02-26",107.26,109.21,100,100.74,760400,87.69
"2009-02-27",99.38,102.38,96.6,96.81,1370700,84.27
"2009-03-02",95.8,97.9,91.57,92.32,1166900,80.36
"2009-03-03",94.37,95.22,89.81,90.57,1399600,78.84
"2009-03-04",92.94,99.16,91.6,96.34,1517000,83.86
"2009-03-05",92.48,96.23,90.29,91.42,754100,80.23
"2009-03-06",95.02,95.02,88.91,92.4,786000,81.09
"2009-03-09",90.5,93.63,89.5,90.9,539000,79.77
"2009-03-10",92.82,100.52,92.25,100.5,807500,88.2
"2009-03-11",100.98,106.5,99.02,105.31,886800,92.42
"2009-03-12",105,111.7,102.8,111.2,758400,97.59
"2009-03-13",109.26,111.25,105.55,108,710400,94.78
"2009-03-16",108.9,110.4,103.45,103.9,735900,91.18
"2009-03-17",104.32,109.69,102.73,109.69,534900,96.26
"2009-03-18",107.5,122.46,106.64,121.99,1301300,107.06
"2009-03-19",120.58,121.99,113.36,113.79,1146800,99.86
"2009-03-20",114.71,116.54,112.77,113.96,779600,100.01
"2009-03-23",117.81,134.07,115.92,133.96,1516500,117.56
"2009-03-24",128.9,139,128.14,128.44,1223800,112.72
"2009-03-25",130.05,134.43,125.38,132.55,879700,116.33
"2009-03-26",132.55,136.83,127.67,136.69,1220600,119.96
"2009-03-27",133.75,133.75,127.18,127.49,1154800,111.88
"2009-03-30",123.54,129.45,123.38,124.89,1179300,109.6
"2009-03-31",126.5,130.9,123.43,130.04,970500,114.12
"2009-04-01",128.86,132.41,128.2,130.69,1303100,114.69
"2009-04-02",133,138.86,130.82,136.41,1203800,119.71
"2009-04-03",134.88,138.16,134.23,138,711700,121.11
"2009-04-06",135.45,138.51,133.31,136.37,830800,119.68
"2009-04-07",132.8,134.47,128.03,128.58,817500,112.84
"2009-04-08",128.61,131.86,125.69,129.02,1228800,113.23
"2009-04-09",135.5,138.83,132,138.04,844700,121.14
"2009-04-13",135.76,140.96,134.45,139.37,959800,122.31
"2009-04-14",138.37,139.37,131.93,132.19,755100,116.01
"2009-04-15",131.64,139.41,129.99,139,673100,121.99
"2009-04-16",137.2,142.5,132.49,136.6,702000,119.88
"2009-04-17",131.18,137.8,129.69,135.92,855300,119.28
"2009-04-20",134.95,134.95,123.39,123.59,1123500,108.46
"2009-04-21",120,138.89,119.12,138.79,1560400,121.8
"2009-04-22",136.5,142.5,133.87,136.18,1693700,119.51
"2009-04-23",139.43,148.05,136.44,147.72,1468800,129.64
"2009-04-24",145.39,152.72,143.06,151.16,1273100,132.66
"2009-04-27",149.99,153.26,148.02,149.46,687600,131.17
"2009-04-28",148.79,149.47,146.54,146.84,516000,128.87
"2009-04-29",150.6,151.93,147.59,151.03,639500,132.54
"2009-04-30",151,152.97,146.46,146.52,675000,128.59
"2009-05-01",147.75,149.43,144.5,148.42,1159700,130.25
"2009-05-04",150.18,158.25,150.15,157.99,802000,138.65
"2009-05-05",156.25,160.6,155.54,157.69,1020400,138.39
"2009-05-06",158,160.38,153.51,155.64,1084500,136.59
"2009-05-07",158.6,158.61,143.66,144.48,1634100,126.8
"2009-05-08",148.13,149.48,143.01,148.35,1207400,130.19
"2009-05-11",145.3,147.33,141.74,142.05,620700,124.66
"2009-05-12",142.05,146.49,139.15,143.03,803400,125.52
"2009-05-13",140.6,142.67,137.74,138.06,861200,121.16
"2009-05-14",138.53,142.2,137.23,140.03,617100,122.89
"2009-05-15",140.02,144.25,136.82,140.81,942700,123.57
"2009-05-18",143.25,145.03,140.25,144.31,991800,126.65
"2009-05-19",145.52,145.52,138.64,139.68,842100,122.58
"2009-05-20",141.79,143.08,136.48,137.16,523000,120.37
"2009-05-21",135.38,141.89,134.5,141.75,1386600,124.4
"2009-05-22",143.15,149.25,141.48,147.72,884500,129.64
"2009-05-26",145.69,154.93,145.33,154.93,1014400,135.97
"2009-05-27",154.96,157,148.5,149.11,588800,130.86
"2009-05-28",149.43,153.9,148.84,153.33,476800,134.56
"2009-05-29",153.97,159.5,151.34,159.5,1062800,139.98
"2009-06-01",162.92,165.75,157.98,164.99,802500,144.79
"2009-06-02",165.84,168.31,163.08,167.45,745400,146.95
"2009-06-03",166.23,167.73,162.37,164.53,807000,144.39
"2009-06-04",165.25,166.7,162.36,165.15,763400,145.63
"2009-06-05",167.82,169.75,163.2,163.74,1061700,144.38
"2009-06-08",169,170.56,164.7,169.36,899500,149.34
"2009-06-09",172.95,183.8,169.41,182.14,1840100,160.61
"2009-06-10",180,182.51,176.57,178.52,975700,157.42
"2009-06-11",180.2,183.76,178.55,182.6,742700,161.01
"2009-06-12",179.6,180,170.21,176.56,1602800,155.69
"2009-06-15",172.85,174.62,166.15,169.64,1236600,149.58
"2009-06-16",170.24,172.5,168.32,169.45,1168100,149.42
"2009-06-17",170.1,172.54,165.74,167.25,708300,147.48
"2009-06-18",168.25,172.81,167.55,170.36,478100,150.22
"2009-06-19",172.53,175.49,171.43,174.96,531000,154.28
"2009-06-22",173.43,174.5,167.26,167.29,560500,147.51
"2009-06-23",168.1,170.89,167.46,167.81,502100,147.97
"2009-06-24",167.65,174.87,167.65,173.47,558200,152.96
"2009-06-25",173.73,177.92,172.4,175.3,685500,154.58
"2009-06-26",176.7,177.98,175.45,177.88,886200,156.85
"2009-06-29",176.5,177.95,175.1,175.95,391400,155.15
"2009-06-30",177.9,177.9,173.65,175.42,276500,154.68
"2009-07-01",176.1,176.22,172.52,172.85,423000,152.42
"2009-07-02",172.05,172.05,167.65,167.65,317600,147.83
"2009-07-06",167.75,168.28,164.75,166.23,597700,146.58
"2009-07-07",167.92,167.92,162.07,162.17,585200,143
"2009-07-08",165.25,165.25,159.45,161.39,709500,142.31
"2009-07-09",160.56,167.38,160.55,166.29,454800,146.63
"2009-07-10",166.5,167.37,164,166.16,331100,146.52
"2009-07-13",168.63,172.12,165.56,172.1,524200,151.75
"2009-07-14",172.52,173.19,169.5,172.71,600100,152.29
"2009-07-15",174.45,180.32,173.19,180.07,463200,158.78
"2009-07-16",179.99,180.15,175.47,179.12,359800,157.94
