"","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2010-12-29",70.12,70.38,69.34,69.87,223500,44.42
"2010-12-30",69.51,69.88,69.39,69.44,196400,44.15
"2010-12-31",69.33,69.67,69.22,69.62,225800,44.26
"2011-01-03",69.75,69.83,69.21,69.29,348600,44.05
"2011-01-04",69.23,69.25,68.47,68.99,360800,43.86
"2011-01-05",68.7,68.87,68.17,68.5,333000,43.55
"2011-01-06",68.49,69.25,68.26,69.12,425600,43.94
"2011-01-07",69.18,69.29,67.8,68.14,261900,43.32
"2011-01-10",67.72,68.02,67.41,67.93,216300,43.19
"2011-01-11",68.08,68.29,67.62,68,227800,43.23
"2011-01-12",68.26,68.43,67.7,68.1,197200,43.29
"2011-01-13",68.46,68.46,67.29,67.85,497100,43.14
"2011-01-14",67.8,67.88,67.65,67.75,310200,43.07
"2011-01-18",67.61,68,67.6,67.63,242000,43
"2011-01-19",67.51,67.88,67.2,67.41,313000,42.86
"2011-01-20",67.45,67.9,67.42,67.55,279300,42.95
"2011-01-21",67.98,67.98,67.31,67.57,405800,42.96
"2011-01-24",67.5,67.68,67.02,67.3,264200,42.79
"2011-01-25",67.12,67.46,66.57,67.46,220000,42.89
"2011-01-26",67.65,67.77,67.13,67.27,306900,42.77
"2011-01-27",67.29,67.33,66.73,67.12,236700,42.67
"2011-01-28",67.24,67.33,65.86,66.05,328400,41.99
"2011-01-31",66.16,66.49,65.65,66.35,323000,42.18
"2011-02-01",66.68,67.53,66.25,67.21,252000,42.73
"2011-02-02",66.97,67.55,66.66,66.77,170700,42.45
"2011-02-03",66.58,67.31,66.54,67.19,214500,42.72
"2011-02-04",67.17,67.39,66.87,67.18,381000,42.71
"2011-02-07",67.39,67.55,66.96,67.08,494100,42.65
"2011-02-08",67.09,67.3,66.77,66.86,349200,42.51
"2011-02-09",66.61,66.86,66.33,66.63,382200,42.36
"2011-02-10",66.49,66.49,65.67,66.26,369200,42.13
"2011-02-11",65.96,67.03,65.96,66.67,366600,42.39
"2011-02-14",66.68,66.98,66.18,66.67,274600,42.39
"2011-02-15",66.53,67.02,66.29,67.02,178000,42.61
"2011-02-16",67.1,67.3,66.69,67.29,180000,42.78
"2011-02-17",67.27,67.78,66.99,67.7,230700,43.04
"2011-02-18",67.79,67.93,67.48,67.93,356000,43.19
"2011-02-22",67.45,67.9,66.95,67.16,272400,42.7
"2011-02-23",67.25,68.28,67.2,67.77,355400,43.09
"2011-02-24",67.83,68.24,67.34,67.71,222600,43.05
"2011-02-25",68.03,68.88,67.81,68.75,213300,43.71
"2011-02-28",68.88,70,68.55,69.15,485200,43.96
"2011-03-01",69.26,69.26,67.97,68.04,412200,43.26
"2011-03-02",68.07,68.1,67.12,67.61,355500,42.98
"2011-03-03",67.92,68.11,67.5,68.04,415800,43.26
"2011-03-04",67.94,68.44,67.36,67.99,256600,43.23
"2011-03-07",68.03,68.03,66.91,67.46,437000,43.09
"2011-03-08",68.47,73.61,68.47,70.67,1399200,45.14
"2011-03-09",70.68,71.49,70.27,70.95,489200,45.32
"2011-03-10",70.46,70.83,69.03,69.52,566600,44.41
"2011-03-11",69.41,69.63,68.6,68.99,378200,44.07
"2011-03-14",68.6,68.89,67.49,67.88,249600,43.36
"2011-03-15",66.7,67.31,65.88,67.01,457800,42.8
"2011-03-16",66.63,67.14,65.18,65.47,485600,41.82
"2011-03-17",66.32,66.93,66.17,66.47,455100,42.46
"2011-03-18",67,67.02,66.01,66.49,762800,42.47
"2011-03-21",66.96,67.98,66.96,67.66,401100,43.22
"2011-03-22",67.7,67.74,67.14,67.24,273600,42.95
"2011-03-23",67.14,67.17,66.69,67.02,465600,42.81
"2011-03-24",67.31,67.56,66.97,67.41,200400,43.06
"2011-03-25",67.63,68.15,67.56,67.65,202800,43.21
"2011-03-28",67.5,67.71,67.31,67.44,399400,43.08
"2011-03-29",67.4,67.72,66.87,67.72,349200,43.26
"2011-03-30",67.96,68.24,67.73,68.08,366600,43.49
"2011-03-31",68,68.46,68,68.3,287800,43.63
"2011-04-01",68.28,68.73,67.57,68.63,302800,43.84
"2011-04-04",68.67,68.87,68.35,68.8,177200,43.95
"2011-04-05",68.59,69.13,68.53,68.75,253800,43.91
"2011-04-06",69.01,69.07,68.17,68.7,201900,43.88
"2011-04-07",68.61,68.73,68.2,68.55,313400,43.79
"2011-04-08",68.49,68.55,67.96,68.16,341400,43.54
"2011-04-11",68.22,68.32,67.68,67.77,608600,43.29
"2011-04-12",67.68,69.57,67.68,69.53,523500,44.41
"2011-04-13",69.55,70.27,69.35,69.4,476100,44.33
"2011-04-14",69.23,70.33,68.65,69.93,458100,44.67
"2011-04-15",70.17,70.88,70.06,70.88,324200,45.28
"2011-04-18",70.12,70.22,69.59,69.82,199400,44.6
"2011-04-19",69.89,70.61,69.72,70.57,280500,45.08
"2011-04-20",71.12,71.92,71.1,71.5,397600,45.67
"2011-04-21",71.78,72.02,71.46,71.64,235000,45.76
"2011-04-25",71.72,71.99,71.59,71.79,288900,45.86
"2011-04-26",72.21,73.68,72.15,73,355800,46.63
"2011-04-27",73.2,73.73,72.76,73.02,398400,46.64
"2011-04-28",72.87,72.9,71.85,71.94,382400,45.95
"2011-04-29",72.05,72.17,71.82,71.86,325500,45.9
"2011-05-02",72,72,70.56,70.88,412500,45.28
"2011-05-03",70.91,71.5,70.64,71.14,498900,45.44
"2011-05-04",71,71.03,70.43,70.79,294000,45.22
"2011-05-05",70.65,70.91,70.07,70.26,281200,44.88
"2011-05-06",70.72,71.45,70.15,70.36,342600,44.94
"2011-05-09",70.36,70.74,70.18,70.48,226500,45.02
"2011-05-10",70.76,71.2,70.4,71.09,192800,45.41
"2011-05-11",71.08,71.52,70.53,70.83,168600,45.24
"2011-05-12",70.87,73.04,70.71,72.83,283500,46.52
"2011-05-13",72.81,73.21,71.69,72.08,188700,46.04
"2011-05-16",71.99,72.22,71.74,71.93,198200,45.95
"2011-05-17",71.74,72.73,71.57,72.39,215800,46.24
"2011-05-18",72.46,72.69,71.93,72.55,165300,46.34
"2011-05-19",72.93,73.01,72.58,72.97,255300,46.61
"2011-05-20",72.98,73.08,72.17,72.6,268800,46.37
"2011-05-23",72.02,72.08,70.91,71.67,216200,45.78
"2011-05-24",71.69,72.04,71.5,71.76,220200,45.84
"2011-05-25",71.17,71.75,70.75,71.28,195200,45.53
"2011-05-26",71.1,72,70.96,71.65,187200,45.77
"2011-05-27",72.01,72.69,71.74,72.2,171400,46.12
"2011-05-31",72.57,72.57,71.13,72.48,584600,46.3
"2011-06-01",72.48,72.48,71.45,71.81,489300,45.87
"2011-06-02",71.82,72.01,70.5,70.88,305100,45.28
"2011-06-03",70.08,70.41,69.53,69.8,416400,44.59
"2011-06-06",69.47,70.44,69.47,69.7,301500,44.83
"2011-06-07",70.05,70.52,69.74,69.87,326600,44.94
"2011-06-08",69.72,70.45,69.22,70.35,445800,45.25
"2011-06-09",71.36,72.21,70,71.75,473100,46.15
"2011-06-10",71.58,71.81,70.35,70.38,493600,45.27
"2011-06-13",70.07,70.5,69.79,70.07,444000,45.07
"2011-06-14",70.55,71.04,70.43,70.79,317000,45.53
"2011-06-15",70.45,71.56,70.37,70.84,584000,45.56
"2011-06-16",70.97,71.86,70.87,71.86,438300,46.22
"2011-06-17",72.29,73.24,72.05,72.96,914700,46.93
"2011-06-20",72.95,73.57,72.54,73.5,603600,47.27
"2011-06-21",73.93,74.57,73.54,74.11,386000,47.67
"2011-06-22",73.87,74,73.18,73.67,530000,47.38
"2011-06-23",73.18,73.75,72.52,73.65,585400,47.37
"2011-06-24",73.69,73.99,73.2,73.67,831300,47.38
"2011-06-27",73.87,74.24,73.54,73.91,284200,47.54
"2011-06-28",74.16,74.16,73.3,73.65,340500,47.37
"2011-06-29",73.97,74.33,73.59,73.73,410000,47.42
"2011-06-30",74.01,74.74,73.42,74.69,517200,48.04
"2011-07-01",74.97,76.02,74.76,76,286800,48.88
"2011-07-05",75.97,76.3,75.59,76.1,306300,48.95
"2011-07-06",76.09,76.65,75.61,76.5,399200,49.2
"2011-07-07",77.15,77.25,76.26,76.51,315300,49.21
"2011-07-08",76,76.08,75.08,75.62,342600,48.64
"2011-07-11",74.86,75.17,74.09,74.29,318800,47.78
"2011-07-12",74.37,75.13,74.18,74.55,371400,47.95
"2011-07-13",74.96,75.63,74.38,74.51,341700,47.92
"2011-07-14",74.41,75.05,74.2,74.3,2e+05,47.79
"2011-07-15",74.42,74.49,73.69,73.97,426000,47.58
"2011-07-18",73.86,73.86,72.61,73.05,200800,46.98
"2011-07-19",73.31,74.38,73.09,74.38,217400,47.84
"2011-07-20",74.17,74.28,73.44,73.74,228300,47.43
"2011-07-21",74.05,75.71,73.98,75.64,270200,48.65
"2011-07-22",75.56,76.45,75.45,75.96,257800,48.86
"2011-07-25",75.39,75.91,75.34,75.52,225000,48.57
"2011-07-26",75.66,75.75,75.26,75.49,347700,48.55
"2011-07-27",74.83,75.57,73.98,74.11,448800,47.67
"2011-07-28",74.16,74.67,73.92,73.95,183600,47.56
"2011-07-29",73.48,74.11,73.15,73.56,347600,47.31
"2011-08-01",73.94,74.34,72.37,72.84,415200,46.85
"2011-08-02",72.41,73,71.23,71.24,422400,45.82
"2011-08-03",71,71.68,70.31,71.65,434600,46.08
"2011-08-04",70.91,72.07,68.22,68.27,660000,43.91
"2011-08-05",69.07,69.89,67.34,69.29,573000,44.57
"2011-08-08",68.13,69.43,65.23,65.24,635600,41.96
"2011-08-09",65.72,66.64,63.99,66.57,1080300,42.82
"2011-08-10",65.61,66,62.14,62.24,1180400,40.03
"2011-08-11",62.24,65.13,62.21,64.29,1227900,41.35
"2011-08-12",65.2,68.15,64.87,68.05,611200,43.77
"2011-08-15",68.38,68.78,67.86,68.58,450600,44.11
"2011-08-16",68.1,70.19,67.69,69.61,548000,44.77
"2011-08-17",70.7,71.2,68.67,69.12,445000,44.46
"2011-08-18",67.71,68.6,66.65,68.31,701100,43.94
"2011-08-19",67.45,69.64,67.45,67.76,643000,43.58
"2011-08-22",68.79,69.03,68.13,68.43,433200,44.01
"2011-08-23",68.72,71.53,68.5,71.42,623600,45.94
"2011-08-24",71.08,71.39,70.26,71.16,405800,45.77
"2011-08-25",71.62,71.62,70.13,70.55,574600,45.38
"2011-08-26",70.42,72.41,68.51,71.63,667600,46.07
"2011-08-29",72.52,73.39,72.05,73.37,458200,47.19
"2011-08-30",73.26,73.91,72.78,73.48,663200,47.26
"2011-08-31",73.95,73.95,71.37,71.75,754600,46.15
"2011-09-01",71.7,72.89,70.54,70.73,969400,45.7
"2011-09-02",69.7,70.76,69.48,69.87,615000,45.14
"2011-09-06",68.06,68.63,67.53,68.07,786400,43.98
"2011-09-07",69.01,69.96,68.63,69.96,544400,45.2
"2011-09-08",69.52,69.82,68.97,69.07,916400,44.62
"2011-09-09",68.1,68.66,67.32,67.42,723900,43.56
"2011-09-12",66.84,67.25,65.76,66.92,498200,43.23
"2011-09-13",66.87,67.92,66.55,67.65,416000,43.71
"2011-09-14",67.97,68.7,66.79,67.99,517800,43.93
"2011-09-15",68.75,69.69,68.25,69.68,668400,45.02
"2011-09-16",69.77,70.92,69.21,70.49,1207200,45.54
"2011-09-19",69.14,69.56,68.16,68.34,386400,44.15
"2011-09-20",68.68,71.1,68.68,70.38,746400,45.47
"2011-09-21",70.51,70.76,67.31,67.35,310600,43.51
"2011-09-22",65.82,66.34,65.19,65.71,774800,42.45
"2011-09-23",65.7,67.6,65.44,66.63,664800,43.05
"2011-09-26",67.51,68.05,66.42,67.92,313000,43.88
"2011-09-27",68.95,71.38,68.95,70.57,592000,45.59
"2011-09-28",70.39,70.9,67.93,67.99,313500,43.93
"2011-09-29",68.93,70.52,68.64,69.96,452600,45.2
"2011-09-30",68.77,70.91,68.77,70.14,591600,45.32
"2011-10-03",69.51,69.94,67.16,67.27,537600,43.46
