"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"2007-11-01",68.44,68.62,66.89,66.98,978800,57.02
"2007-11-02",67.19,67.39,66.44,66.87,1682300,56.93
"2007-11-05",66.35,68.64,66.35,68.18,1376900,58.04
"2007-11-06",68.25,69.83,67.53,69.76,1020200,59.39
"2007-11-07",69.25,69.25,66.23,66.37,1496800,56.5
"2007-11-08",69.37,73.2,67.7,72.76,2616800,61.94
"2007-11-09",71.7,72.17,70.01,70.1,1594900,59.68
"2007-11-12",69.82,70.19,67.84,67.94,1948100,57.84
"2007-11-13",68.54,70.24,68.22,70.24,1586200,59.8
"2007-11-14",70.43,71.35,69.68,69.84,1341600,59.45
"2007-11-15",69.71,69.78,68.01,68.22,1358900,58.32
"2007-11-16",68.56,68.56,66.66,67.2,1769000,57.45
"2007-11-19",66.91,67.46,66.25,66.8,1342200,57.1
"2007-11-20",66.81,67.74,65.94,66.87,1490200,57.16
"2007-11-21",65.9,66.12,64.85,65.44,1715500,55.94
"2007-11-23",65.98,66.29,64.93,65.81,646000,56.26
"2007-11-26",65.95,67.11,64.97,64.97,1379200,55.54
"2007-11-27",64.91,66.6,64.86,66.53,1531900,56.87
"2007-11-28",66.53,68.22,66.23,67.67,1489800,57.85
"2007-11-29",67.59,67.97,66.85,67.13,977500,57.39
"2007-11-30",68.17,69.09,67.69,67.89,1445900,58.04
"2007-12-03",67.55,67.86,66.51,66.76,1278500,57.07
"2007-12-04",66.49,67.37,66.23,66.62,1489100,56.95
"2007-12-05",67.37,68.17,67.2,68.04,1044100,58.16
"2007-12-06",68.02,69.51,67.58,69.47,743500,59.39
"2007-12-07",70.09,70.16,69.29,69.71,834500,59.59
"2007-12-10",69.76,70.93,69.49,70.68,793800,60.42
"2007-12-11",70.56,70.93,69.16,69.18,1724400,59.14
"2007-12-12",70.6,71.36,69.44,70.34,1531900,60.13
"2007-12-13",69.9,70.79,69.54,70.65,1029200,60.39
"2007-12-14",70.5,71.15,70.35,70.55,1024000,60.31
"2007-12-17",70.1,70.94,68.65,68.68,1237800,58.71
"2007-12-18",68.76,69.32,67.05,68.01,1735400,58.14
"2007-12-19",68.16,69.86,67.98,69.6,1123200,59.5
"2007-12-20",69.97,70.15,69.11,70.12,998000,59.94
"2007-12-21",70.64,71.88,70.45,71,1358600,60.69
"2007-12-24",71.24,72,70.97,71.68,259200,61.28
"2007-12-26",71.99,72.53,71.09,72.38,556500,61.87
"2007-12-27",72.24,72.35,70.3,70.47,707600,60.24
"2007-12-28",71.51,71.51,69.4,69.76,829300,59.63
"2007-12-31",69.35,69.55,68.9,68.96,778200,58.95
"2008-01-02",69.05,69.72,66.62,66.68,1861100,57
"2008-01-03",66.77,67.07,66.17,66.8,1479700,57.1
"2008-01-04",65.87,66.34,63.97,64.09,1484400,54.79
"2008-01-07",64.29,64.59,61.49,63.2,2153300,54.03
"2008-01-08",61.83,62.68,60.66,60.94,3050800,52.09
"2008-01-09",60.42,60.68,59.03,60.68,2891200,51.87
