"","ZMH.Open","ZMH.High","ZMH.Low","ZMH.Close","ZMH.Volume","ZMH.Adjusted"
"2012-09-21",67.08,67.71,66.9,67.45,1434200,66.43
"2012-09-24",67.22,67.65,66.94,67.54,1369600,66.52
"2012-09-25",67.62,67.9,66.85,66.85,1347300,66.01
"2012-09-26",66.89,67,66.33,66.48,1044900,65.65
"2012-09-27",66.68,67.35,66.5,67.16,664800,66.32
"2012-09-28",66.57,67.76,66.5,67.62,1643700,66.77
"2012-10-01",67.77,69,67.57,67.87,1599200,67.02
"2012-10-02",67.87,68.11,67.06,67.32,1744400,66.48
"2012-10-03",67.55,67.81,67.22,67.29,1275100,66.45
"2012-10-04",67.49,67.58,66.94,67.27,1513900,66.43
"2012-10-05",67.62,67.78,66.73,66.88,1658000,66.04
"2012-10-08",66.76,67.22,66.38,66.82,1218900,65.98
"2012-10-09",66.45,66.45,63.75,63.75,3475200,62.95
"2012-10-10",63.47,63.51,62.23,62.61,2632900,61.83
"2012-10-11",62.99,63.63,62.89,62.9,1316600,62.11
"2012-10-12",62.98,63.51,61.97,62.26,1653600,61.48
"2012-10-15",62.44,63.25,62.31,63.17,1885200,62.38
"2012-10-16",63.86,64.54,63.42,63.76,1785800,62.96
"2012-10-17",63.66,63.99,63.14,63.9,1176900,63.1
"2012-10-18",63.02,64.01,63.02,63.92,1782200,63.12
"2012-10-19",63.72,63.72,62.51,62.69,1492900,61.9
"2012-10-22",62.58,63.48,62.54,63.47,1099100,62.67
"2012-10-23",62.68,62.75,62.14,62.14,1507700,61.36
"2012-10-24",62.52,62.8,62.07,62.28,1092200,61.5
"2012-10-25",62.92,64.58,62.28,63.98,2034200,63.18
"2012-10-26",64.11,64.41,63.44,63.55,1606600,62.75
"2012-10-31",63.5,64.47,63.2,64.21,1637400,63.41
"2012-11-01",64.12,65.64,64.06,65.55,1448100,64.73
"2012-11-02",65.58,65.99,65,65.05,1437700,64.23
"2012-11-05",65.05,65.8,64.66,65.68,971100,64.86
"2012-11-06",65.73,66.22,65.46,66.01,1000900,65.18
"2012-11-07",65.4,65.4,64.26,64.83,1589300,64.02
"2012-11-08",64.79,65.04,64.35,64.67,1353200,63.86
"2012-11-09",64.85,65.08,64.34,64.69,1082600,63.88
"2012-11-12",64.86,65.1,64.44,64.7,855600,63.89
"2012-11-13",64.53,65.31,64.41,64.44,1417100,63.63
"2012-11-14",64.55,64.85,64.13,64.34,1047900,63.53
"2012-11-15",64.29,64.42,63.56,64.25,1285700,63.44
"2012-11-16",64.21,66.75,63.8,64.44,1044400,63.63
"2012-11-19",64.81,65.82,64.58,65.82,1190800,64.99
"2012-11-20",65.51,66.73,65.36,66.3,1263800,65.47
"2012-11-21",66.25,66.54,65.81,66.03,902000,65.2
"2012-11-23",66.24,66.87,66.02,66.84,292200,66
"2012-11-26",66.63,66.63,65.24,66.15,1127000,65.32
"2012-11-27",66.06,67.28,65.73,66.02,1151400,65.19
"2012-11-28",65.77,66.18,64.98,66.1,957300,65.27
"2012-11-29",66.51,66.67,65.71,66.36,1647000,65.53
"2012-11-30",66.45,66.47,65.36,65.97,1212300,65.14
"2012-12-03",66.22,66.31,65.33,65.45,950300,64.63
"2012-12-04",65.53,66.06,65.26,65.84,1023200,65.01
"2012-12-05",65.84,66.14,65.35,65.63,1539400,64.81
"2012-12-06",65.52,65.94,65.41,65.71,863700,64.89
"2012-12-07",65.76,65.96,65.32,65.49,829200,64.67
