"","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2011-08-29",52.82,53.97,52.68,53.93,1353900,49.95
"2011-08-30",53.72,54.76,53.14,54.41,1939100,50.4
"2011-08-31",54.76,55.39,54.29,54.62,1792600,50.59
"2011-09-01",54.65,55.2,53.39,53.46,2191600,49.52
"2011-09-02",52.43,52.71,51.72,51.8,1829300,47.98
"2011-09-06",50.35,51.77,49.97,51.66,3034200,47.85
"2011-09-07",52.48,53.25,52.08,53.11,2366600,49.19
"2011-09-08",52.88,53.45,52.57,52.78,2636900,48.89
"2011-09-09",51.98,52.4,51.41,51.81,3130200,47.99
"2011-09-12",51.36,52.42,51.3,52.42,2842300,48.55
"2011-09-13",52.23,52.94,51.69,52.39,2315100,48.52
"2011-09-14",52.75,53.66,51.6,52.91,2458700,49.01
"2011-09-15",53.48,54.28,53.31,54.17,1618700,50.17
"2011-09-16",54.32,55.34,54.27,54.82,2520600,50.77
"2011-09-19",53.71,54.2,53.37,53.88,2942100,49.9
"2011-09-20",54.22,54.52,53.71,53.85,2594900,49.88
"2011-09-21",53.55,53.95,51.88,51.89,2378100,48.06
"2011-09-22",50.47,51.69,50.32,51.13,3541200,47.36
"2011-09-23",50.78,52.1,50.64,51.05,2872400,47.28
"2011-09-26",51.62,52.48,51.33,52.41,3232800,48.54
"2011-09-27",53.53,54.44,53.1,53.49,2287500,49.54
"2011-09-28",53.55,54.17,52.06,52.1,2825700,48.26
"2011-09-29",52.97,53.94,52.29,53.27,2413900,49.34
"2011-09-30",52.66,53.35,52.16,52.17,2677500,48.32
"2011-10-03",51.74,52.63,50.86,50.87,2645000,47.12
"2011-10-04",50.25,51.76,50.13,51.69,2800000,47.88
"2011-10-05",51.72,52.12,51.34,51.76,4096400,47.94
"2011-10-06",51.75,52.32,51.14,52.29,2548900,48.43
"2011-10-07",52.78,53.45,52.15,52.81,2888700,48.91
"2011-10-10",53.89,54.72,53.78,54.71,1493500,50.67
"2011-10-11",54.13,55.12,54.13,54.85,2029200,50.8
"2011-10-12",55.16,55.83,55.06,55.32,1901900,51.24
"2011-10-13",54.89,54.98,53.65,54.33,2406100,50.32
"2011-10-14",55.29,55.42,54.11,54.56,2220700,50.53
"2011-10-17",54.02,54.47,53.72,53.84,2306800,49.87
"2011-10-18",53.69,54.71,53.49,54.4,3200300,50.39
"2011-10-19",54.31,54.74,54,54.08,2479700,50.09
"2011-10-20",54.34,54.47,53.53,54.11,1914300,50.12
"2011-10-21",54.66,55.82,54.63,55.81,1920800,51.69
"2011-10-24",56,56.78,55.65,56.33,2100600,52.17
"2011-10-25",56.17,57.2,55.88,56.57,3393000,52.4
"2011-10-26",56.29,56.85,53.88,55.6,2986200,51.5
"2011-10-27",57.38,57.97,56.2,57.64,2397100,53.39
"2011-10-28",57.73,58.04,57.28,57.92,2393500,53.65
"2011-10-31",57.1,58.71,57.04,57.75,2681900,53.49
"2011-11-01",56.26,56.44,54.58,54.98,3093200,50.92
"2011-11-02",55.89,56.23,55.46,55.82,1812200,51.7
"2011-11-03",56.28,57.53,56.15,57.38,2076000,53.15
"2011-11-04",57.17,57.35,56.42,57.18,1314200,52.96
"2011-11-07",57.09,58.3,56.87,58.24,1621700,53.94
"2011-11-08",58.48,58.64,57.53,58.53,1651700,54.21
"2011-11-09",57.61,57.96,56.92,57.29,4294700,53.06
"2011-11-10",58.23,58.57,57.81,58.06,2117400,53.78
"2011-11-11",58.72,59.67,58.68,59.3,1550400,54.92
"2011-11-14",59.16,59.46,58.79,58.85,1822600,54.51
"2011-11-15",58.48,59.83,58.47,59.45,1443500,55.06
"2011-11-16",58.84,59.56,58.34,58.47,2164200,54.16
"2011-11-17",58.23,58.24,56.32,56.87,2481800,52.67
"2011-11-18",57.08,57.33,56.36,56.75,2865800,52.56
