"","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2008-11-10",150.5,153.6,140.33,142.85,25290000,14.06
"2008-11-11",137.8,147.69,137.39,141.5,31529000,13.93
"2008-11-12",138.72,145.81,136.47,136.47,46689000,13.43
"2008-11-13",138.05,148.79,128.09,146.99,44355000,14.47
"2008-11-14",144.45,151.2,141.58,143.68,36794000,14.14
"2008-11-17",141.4,145.56,135,135.74,37110000,13.36
"2008-11-18",135.4,142.7,134.93,141.4,38762000,13.92
"2008-11-19",138.23,145.26,128.94,129.54,54451000,12.75
"2008-11-20",125.15,130.39,120.33,121.09,56997000,11.92
"2008-11-21",124,127.36,113.05,126.54,71536000,12.46
"2008-11-24",128.33,135.34,122.3,131.47,52097000,12.94
"2008-11-25",135,139.87,130.35,139.06,42357000,13.69
"2008-11-26",136.42,147.31,135.72,145.56,30087000,14.33
"2008-11-28",144.79,148.8,142.62,145.3,11336000,14.3
"2008-12-01",140.97,141.59,130.07,130.99,38445000,12.9
"2008-12-02",132.39,135.19,128.07,133.97,24865000,13.19
"2008-12-03",130.57,138.56,129.02,137.94,31614000,13.58
"2008-12-04",134.61,140.59,131.84,133.27,28070000,13.12
"2008-12-05",130.82,140.34,127.66,140.12,39852000,13.79
"2008-12-08",143.94,151.5,141.1,147.3,46684000,14.5
"2008-12-09",145,150.4,142.28,143.21,25477000,14.1
"2008-12-10",141.77,145.17,138.17,145,24045000,14.27
"2008-12-11",142.38,146.25,137.7,138.36,27578000,13.62
"2008-12-12",132.1,139.67,132.1,138.81,18186000,13.67
"2008-12-15",137.91,141.4,135,139.29,16824000,13.71
"2008-12-16",140.41,148.25,140.35,148.1,26863000,14.58
"2008-12-17",147.25,151.84,146.1,148.68,23218000,14.64
"2008-12-18",149.11,158,148.51,148.81,37306000,14.65
"2008-12-19",150.75,153.49,146.97,152.34,28099000,15
"2008-12-22",152.98,152.98,142.41,145.2,19529000,14.29
"2008-12-23",144.61,144.99,140.14,141.62,15014000,13.94
"2008-12-24",141.4,142.99,140.01,142.23,3133000,14
"2008-12-26",142.77,142.77,139.21,140.93,7057000,13.87
"2008-12-29",140.02,141.83,136.01,139.34,17811000,13.72
"2008-12-30",139.35,139.9,135.08,139.09,18063000,13.69
"2008-12-31",139.48,144.91,137.54,142.93,19307000,14.07
"2009-01-02",144.1,150.7,142.73,149.78,22311000,14.75
"2009-01-05",149.55,156.84,149.03,153.26,24719000,15.09
"2009-01-06",156.26,165,155.29,162.02,43357000,15.95
"2009-01-07",158.1,160.61,149.11,152.07,39537000,14.98
"2009-01-08",150.96,152.96,148.36,152.78,22841000,15.05
"2009-01-09",153.5,153.65,147.29,150.04,20036000,14.78
"2009-01-12",147.73,151.62,145.89,148.04,20687000,14.59
"2009-01-13",146.38,151.31,145.5,150.44,19307000,14.82
"2009-01-14",147.57,148.5,139.07,145.3,48442000,14.32
"2009-01-15",144.02,144.75,128.56,130.3,80426000,12.84
"2009-01-16",129.95,131,120.16,128.22,71298000,12.63
