"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2008-08-26",65.83,67,65.64,66.94,2618100,59.22
"2008-08-27",66.81,68.22,66.6,67.96,2727700,60.12
"2008-08-28",68.41,71.36,67.82,71.01,5247600,62.82
"2008-08-29",70.57,70.99,69.97,70.57,2650200,62.43
"2008-09-02",70.68,71.44,68.49,68.71,5540500,60.79
"2008-09-03",68.64,68.64,65.29,66.53,5647400,58.86
"2008-09-04",65.88,65.9,62.33,63.5,6293200,56.18
"2008-09-05",62.93,63.49,61.92,63.23,6217300,55.94
"2008-09-08",64.75,65.4,61.2,62.78,4955600,55.54
"2008-09-09",62.64,63,59.88,59.95,5580100,53.04
"2008-09-10",60.56,60.88,58.92,59.75,5633800,52.86
"2008-09-11",58.8,61.67,58,61.58,4715500,54.48
"2008-09-12",61.18,63.65,60.56,63.24,4549600,55.95
"2008-09-15",61.06,63.67,61.06,61.21,4785700,54.15
"2008-09-16",59.87,63.77,59.09,63.19,6896700,55.9
"2008-09-17",61.93,62.95,59.87,59.92,4850200,53.01
"2008-09-18",60.51,62.75,58,62.02,6360200,54.87
"2008-09-19",65.54,65.54,62.11,63.38,5051500,56.07
"2008-09-22",63.06,64.22,62.6,63.1,3354700,55.82
"2008-09-23",62.5,63.99,59.98,60.77,3414400,53.76
"2008-09-24",61.05,61.8,58.65,59.12,3343300,52.3
"2008-09-25",59.69,59.77,57.5,57.76,6390400,51.1
"2008-09-26",56.88,56.97,54.5,55.33,5469000,49.19
"2008-09-29",54.15,54.24,46.18,47.76,11143200,42.46
"2008-09-30",49.17,49.57,47.22,49.5,8079900,44.01
"2008-10-01",49.49,49.49,46,46.3,6942500,41.16
"2008-10-02",45.92,45.96,38.9,39.72,16813900,35.31
"2008-10-03",40.32,42.86,38.56,39.24,14751300,34.88
"2008-10-06",37.81,38.18,34,37.29,13619000,33.15
"2008-10-07",38.5,39.6,35,36,12893100,32
