"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume","UTX.Adjusted"
"2012-03-16",87,87.36,85.23,85.48,8007600,81.51
"2012-03-19",85.72,85.72,84.56,84.62,4611300,80.69
"2012-03-20",83.87,84.09,83.07,83.26,4558100,79.4
"2012-03-21",83.5,83.52,82.41,82.72,3380400,78.88
"2012-03-22",82.2,82.41,81.54,82.07,5156800,78.26
"2012-03-23",82.04,82.29,81.52,81.8,3819500,78
"2012-03-26",82.56,83.52,82.51,83.5,3560400,79.63
"2012-03-27",83.43,83.5,82.85,83.11,3633100,79.25
"2012-03-28",83.26,83.26,81.12,81.52,4873200,77.74
"2012-03-29",81.13,82.38,81,82.32,3752900,78.5
"2012-03-30",82.96,83.27,82.28,82.94,3497300,79.09
"2012-04-02",82.5,83.57,81.91,82.73,3336700,78.89
"2012-04-03",82.63,83.11,81.77,82.2,3265100,78.39
"2012-04-04",81.74,82.09,81.41,81.92,2970400,78.12
"2012-04-05",81.55,82.16,81.38,81.6,2483100,77.81
"2012-04-09",80.82,80.82,79.96,80.23,3201500,76.51
"2012-04-10",79.81,80.07,78.35,78.48,5025100,74.84
"2012-04-11",79.44,80.03,79.13,79.63,3710400,75.93
"2012-04-12",79.6,81.46,79.59,81.17,2742900,77.4
"2012-04-13",80.56,80.93,79.74,79.8,3252200,76.1
"2012-04-16",80.13,80.96,79.61,79.88,3183300,76.17
"2012-04-17",80.37,81.6,80.11,81.24,3021600,77.47
"2012-04-18",80.96,81.45,80.85,81.2,2604000,77.43
"2012-04-19",81.09,81.58,80,80.4,2660600,76.67
"2012-04-20",80.61,81.54,80.61,81,3620900,77.24
"2012-04-23",80.1,80.25,79.39,79.75,4870900,76.05
"2012-04-24",80.23,80.75,79.26,79.85,3732700,76.14
"2012-04-25",80.64,81.08,79.34,79.81,4127400,76.11
"2012-04-26",79.87,81.36,79.53,81.25,3088200,77.48
"2012-04-27",81.63,82.1,81.46,82,2768900,78.19
"2012-04-30",81.98,82.46,81.32,81.64,2480300,77.85
"2012-05-01",81.5,82.24,80.67,81.43,2424300,77.65
"2012-05-02",81.18,81.67,80.84,81.55,2222400,77.77
"2012-05-03",81.45,81.66,80.54,80.91,2308000,77.16
"2012-05-04",80.66,80.72,79.29,79.48,2525000,75.79
"2012-05-07",78.89,79.42,78.82,78.91,2824700,75.25
"2012-05-08",78.52,79,77.69,78.82,3030000,75.16
"2012-05-09",77.53,77.91,76.76,77.01,4997400,73.44
"2012-05-10",77.46,77.92,77.08,77.29,2856400,73.7
"2012-05-11",76.86,78.02,76.72,77.18,2362800,73.6
"2012-05-14",76.34,76.6,75.65,75.95,4389400,72.43
"2012-05-15",75.84,77.05,75.61,76.17,3979000,72.64
"2012-05-16",76.13,76.22,74.61,74.7,4409000,71.69
"2012-05-17",74.66,74.68,73.28,73.33,4219500,70.37
"2012-05-18",73.56,73.6,72.14,72.38,5762800,69.46
"2012-05-21",72.59,73.75,72.37,73.7,3913100,70.73
"2012-05-22",74.14,74.8,73.59,73.94,4970400,70.96
"2012-05-23",73.35,74.24,72.44,74.06,4226200,71.07
"2012-05-24",74.17,74.21,72.6,73.5,3436600,70.53
"2012-05-25",73.29,73.84,72.78,73.02,2528600,70.07
"2012-05-29",73.76,75.13,73.45,75.09,5761100,72.06
"2012-05-30",74.33,74.56,73.63,73.74,3538600,70.76
"2012-05-31",74.25,74.77,73.75,74.11,4016400,71.12
"2012-06-01",72.71,73.28,71.78,72.02,4863200,69.11
"2012-06-04",71.92,72.07,70.8,71.45,4188800,68.57
"2012-06-05",70.95,71.37,70.71,70.88,4445100,68.02
"2012-06-06",71.53,73.66,71.49,73.64,4211100,70.67
"2012-06-07",74.93,76.09,74.69,75.4,5744700,72.36
"2012-06-08",75.16,75.74,74.9,75.5,2958600,72.45
"2012-06-11",76.18,76.38,74.51,74.62,2377400,71.61
"2012-06-12",73.63,74.6,73.63,74.35,6598400,71.35
"2012-06-13",74.35,74.45,72.96,73.54,12042500,70.57
"2012-06-14",73.59,74.73,73.53,74.14,7832000,71.15
"2012-06-15",74.23,74.5,73.62,74.49,6678800,71.48
"2012-06-18",74.3,75.25,74.01,75,3211500,71.97
"2012-06-19",75.59,77,75.59,76.4,4259100,73.32
"2012-06-20",76.36,76.72,75.45,75.91,3438000,72.85
"2012-06-21",76.56,77.05,74.74,74.82,4143600,71.8
