"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"2013-05-15",70.11,70.97,70.04,70.85,2678600,69.6
"2013-05-16",70.53,71.04,70.35,70.46,2097300,69.22
"2013-05-17",70.76,71.68,70.66,71.51,2119200,70.25
"2013-05-20",71.37,71.94,71.15,71.28,2460800,70.03
"2013-05-21",71.29,72.35,71.18,72.2,3156400,70.93
"2013-05-22",72.16,73.13,70.94,71.24,3708400,69.99
"2013-05-23",70.52,71.19,70.09,70.94,2443600,69.69
"2013-05-24",70.51,71.14,70.07,71.11,1830900,69.86
"2013-05-28",72.06,72.22,70.77,71.03,2555600,69.78
"2013-05-29",70.5,72.2,70.31,71.8,3106400,70.54
"2013-05-30",71.77,73.23,71.52,72.88,2864700,71.6
"2013-05-31",72.5,73.04,71.64,71.64,2803600,70.38
"2013-06-03",71.75,72.06,70.47,71.83,2668200,70.57
"2013-06-04",71.9,72.35,70.87,71.09,2053500,69.84
"2013-06-05",70.86,71.22,69.42,69.83,3554600,68.6
"2013-06-06",69.65,70.29,69.15,70.27,2035500,69.03
"2013-06-07",70.79,71.24,70.41,71.1,2563900,69.85
"2013-06-10",71.47,73.11,71.28,72.93,3553900,71.65
"2013-06-11",72.26,72.58,71.6,71.75,2563300,70.49
"2013-06-12",72.18,72.23,70.44,70.84,2595300,69.59
"2013-06-13",70.84,71.85,70.11,71.76,2016600,70.5
"2013-06-14",71.62,71.95,70.7,71,1833300,69.75
"2013-06-17",71.55,71.91,70.86,71.29,1862100,70.04
"2013-06-18",71.45,71.81,71.16,71.74,1644200,70.48
"2013-06-19",71.77,71.95,70.79,70.88,2728500,69.63
"2013-06-20",70.35,71.69,70.15,71.05,4514000,69.8
"2013-06-21",71.82,72.23,71.02,71.71,5150100,70.45
"2013-06-24",71.13,71.14,70.15,70.53,2714000,69.29
"2013-06-25",71.35,72.84,70.86,72.7,3307800,71.42
"2013-06-26",73.43,74.19,73.04,73.18,2838900,71.89
"2013-06-27",73.7,74.13,73.43,73.63,2128900,72.33
"2013-06-28",73.48,73.52,72.56,72.92,2114300,71.64
"2013-07-01",73.23,74.33,73.04,73.49,2475200,72.2
"2013-07-02",73.27,74.33,73.26,73.85,2091500,72.55
"2013-07-03",73.49,74.09,73.21,73.97,997700,72.67
"2013-07-05",74.52,75.94,74.47,75.92,2250800,74.58
"2013-07-08",76.25,76.72,75.83,76.35,2263600,75.01
"2013-07-09",76.64,76.79,75.86,76.26,2442200,74.92
"2013-07-10",75.68,75.75,73.99,74.59,4016900,73.28
"2013-07-11",75.16,75.17,73.46,74.1,2786800,73.23
"2013-07-12",74.3,74.96,73.7,74.91,2819800,74.03
"2013-07-15",74.99,75.48,74.79,75.06,2265000,74.18
"2013-07-16",75.03,75.33,73.71,74.5,2716300,73.62
"2013-07-17",73.21,74.42,72.58,73.55,4665800,72.69
"2013-07-18",73.91,76.14,73.71,75.91,3269800,75.02
"2013-07-19",76.27,77.31,75.7,77.19,3851300,76.28
"2013-07-22",77.19,77.44,76.67,77.18,2026700,76.27
"2013-07-23",76.66,77.65,76.4,77.14,2547600,76.23
"2013-07-24",77.27,77.91,76.88,77.1,2643600,76.19
"2013-07-25",76.43,76.96,75.8,76,2692700,75.11
"2013-07-26",75.85,75.96,75.29,75.9,1650600,75.01
"2013-07-29",75.87,76.08,75.3,75.87,1702900,74.98
"2013-07-30",76.06,76.42,75.41,75.54,1992400,74.65
"2013-07-31",75.64,76.97,75.64,76.05,3130800,75.16
"2013-08-01",76.8,77.83,76.43,77.65,2999800,76.74
"2013-08-02",77.4,77.93,76.95,77.43,3327000,76.52
"2013-08-05",77.29,77.58,76.84,77.16,1499200,76.25
"2013-08-06",77.13,77.16,76.14,76.53,1746000,75.63
"2013-08-07",76.2,76.3,75.54,75.79,1534500,74.9
"2013-08-08",76.18,76.67,75.54,76.22,1776900,75.32
"2013-08-09",76.16,76.5,75.67,75.96,1781100,75.07
"2013-08-12",75.62,76.52,75.47,76.11,1643700,75.21
"2013-08-13",76.25,76.29,75.47,75.98,1069600,75.09
"2013-08-14",76.04,76.6,75.87,75.88,1475700,74.99
"2013-08-15",75.25,75.7,74.53,74.92,1758000,74.04
"2013-08-16",74.56,75.39,74.46,74.91,2274800,74.03
"2013-08-19",74.76,74.88,73.9,73.93,1574100,73.06
"2013-08-20",73.89,74.86,73.72,74.59,1324300,73.71
"2013-08-21",74.34,74.98,73.74,74.4,1565200,73.53
"2013-08-22",74.48,75.28,74.37,74.99,1457100,74.11
"2013-08-23",75.31,75.37,74.55,75.02,806100,74.14
"2013-08-26",75.01,75.1,74.19,74.21,1310800,73.34
"2013-08-27",73.32,73.5,72.12,72.24,1847700,71.39
"2013-08-28",72.27,73.25,71.97,72.55,1480700,71.7
"2013-08-29",72.36,73.13,72,72.58,842700,71.73
"2013-08-30",72.69,72.71,71.97,72.27,1383300,71.42
"2013-09-03",73.05,73.78,72.03,72.48,1762500,71.63
"2013-09-04",72.44,72.94,72.14,72.54,1990800,71.69
"2013-09-05",72.54,73.61,72.22,73.35,1144700,72.49
"2013-09-06",73.6,73.68,71.99,73.19,2075200,72.33
"2013-09-09",73.23,73.31,72.36,72.95,1872600,72.09
"2013-09-10",73.45,73.85,73.28,73.65,1395300,72.78
"2013-09-11",73.6,73.8,73.08,73.56,1573500,72.69
"2013-09-12",73.66,73.71,73.03,73.11,1312300,72.25
"2013-09-13",73.28,73.47,72.73,73.25,1379600,72.39
"2013-09-16",74.34,74.56,73.65,74.19,1385700,73.32
"2013-09-17",74.25,74.84,73.69,74.77,1986800,73.89
"2013-09-18",74.82,75.54,74.29,74.4,3036100,73.53
"2013-09-19",74.57,74.82,73.42,74.05,1936500,73.18
"2013-09-20",74.12,74.49,73.76,74.05,2765000,73.18
"2013-09-23",73.78,73.87,72.65,72.96,1659400,72.1
"2013-09-24",72.78,73.27,72.52,72.72,2044000,71.86
"2013-09-25",72.67,73.65,72.22,73.05,3092500,72.19
"2013-09-26",73.13,73.46,72.04,72.44,2064900,71.59
"2013-09-27",72.26,72.92,72.08,72.63,2070100,71.78
"2013-09-30",71.95,72.68,71.48,72.45,2040100,71.6
"2013-10-01",72.4,72.91,72.16,72.67,2017300,71.82
"2013-10-02",72.23,72.99,72.2,72.68,2526100,71.83
"2013-10-03",72.46,72.7,72.01,72.42,2411400,71.57
"2013-10-04",72.79,73.16,72.36,72.97,1645500,72.11
"2013-10-07",72.36,72.39,71.7,71.88,1497400,71.03
"2013-10-08",71.76,71.93,70.91,70.94,1904800,70.11
"2013-10-09",71.03,71.2,70.63,70.87,2049400,70.04
"2013-10-10",71.41,72.71,71.32,72.62,2423700,72.21
"2013-10-11",72.34,73.12,71.8,72.96,1807800,72.55
"2013-10-14",72.56,73.08,72.15,72.98,2159500,72.57
"2013-10-15",72.41,73.23,72.18,72.51,2007000,72.1
"2013-10-16",73.76,74.38,72.43,73.87,3450800,73.46
"2013-10-17",73.58,74.77,73.43,74.68,2655700,74.26
"2013-10-18",74.55,75.15,73.86,75.04,3070400,74.62
"2013-10-21",75.02,75.21,74.6,75.12,1854200,74.7
"2013-10-22",75.09,75.79,74.79,75.56,1989500,75.14
"2013-10-23",75.25,75.54,75.07,75.24,1818400,74.82
"2013-10-24",75.27,75.34,74.68,74.82,2247600,74.4
"2013-10-25",74.82,75.37,74.68,75.36,1816700,74.94
"2013-10-28",75.27,75.86,74.99,75.5,1629300,75.08
"2013-10-29",75.59,75.67,74.82,75.2,1607600,74.78
"2013-10-30",75.31,75.45,74.56,74.81,1615500,74.39
"2013-10-31",74.61,74.89,73.53,73.53,2181200,73.12
"2013-11-01",73.62,73.98,72.99,73.37,1796800,72.96
"2013-11-04",73.45,73.58,73,73.17,1228700,72.76
"2013-11-05",72.95,74.02,72.92,73.29,1939000,72.88
"2013-11-06",73.97,74,73.43,73.88,1483100,73.47
"2013-11-07",74.09,74.24,72.85,72.9,1917300,72.49
"2013-11-08",73.28,75.67,72.92,75.52,3490200,75.1
"2013-11-11",75.52,75.81,75.03,75.42,1563400,75
"2013-11-12",75.16,75.21,73.87,74.18,2225400,73.77
"2013-11-13",73.95,74.27,73.33,74.27,2426400,73.86
"2013-11-14",73.91,74.73,73.55,74.68,2485900,74.26
"2013-11-15",74.94,75.6,74.72,75.14,2082800,74.72
"2013-11-18",75.2,76,75.02,75.31,1559100,74.89
"2013-11-19",75.44,75.9,75.18,75.5,1699800,75.08
"2013-11-20",75.7,75.85,74.83,75.2,1813700,74.78
"2013-11-21",75.42,76.58,75.25,76.33,1996100,75.9
"2013-11-22",76.34,76.98,76.13,76.82,2259700,76.39
"2013-11-25",76.95,77.33,76.25,76.32,1821700,75.89
