"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2010-11-11",93.95,95.02,93.32,95.01,1556800,89.85
"2010-11-12",93.81,94.83,92.69,94.06,2082300,88.96
"2010-11-15",94.63,94.71,93.29,93.98,2281400,88.88
"2010-11-16",92.95,92.99,90.37,91.32,2696000,86.36
"2010-11-17",91.39,92.71,90.42,92.02,1823500,87.03
"2010-11-18",93.62,95.34,93.4,93.81,1671500,88.97
"2010-11-19",93.34,94.44,92.56,94.31,1883100,89.45
"2010-11-22",94.24,95.75,93.39,95.59,1516700,90.66
"2010-11-23",93.63,95.19,93.56,94.91,1884400,90.02
"2010-11-24",95.89,98.73,95.72,98.65,2012300,93.56
"2010-11-26",97.57,98.64,97.4,98.2,618900,93.14
"2010-11-29",97.26,97.61,95.5,97.27,1450200,92.26
"2010-11-30",96.06,97.78,95.59,97.12,2463300,92.11
"2010-12-01",99.74,101.2,99.25,100.52,2508100,95.34
"2010-12-02",100.84,104.36,100.52,103.97,2367300,98.61
"2010-12-03",102.72,103.95,102.26,102.84,1932300,97.54
"2010-12-06",102.75,105.58,102.43,104.96,1465300,99.55
"2010-12-07",106.49,107.62,105.6,105.98,2573800,100.52
"2010-12-08",106.03,106.48,103.57,105.08,2215400,99.66
"2010-12-09",106.11,106.2,104,104.25,1342100,98.88
"2010-12-10",105,105.22,104,105.03,1006900,99.62
"2010-12-13",106.4,107.26,105.7,106.69,2145800,101.19
"2010-12-14",106.55,109.19,106.55,108.29,1924800,102.71
"2010-12-15",108.41,110.84,108.04,108.62,2171200,103.02
"2010-12-16",109.25,109.25,107.14,108.51,1221200,102.92
"2010-12-17",108.47,109,107.8,107.96,2071900,102.39
"2010-12-20",108.49,109.57,107.68,109.12,1241000,103.49
"2010-12-21",109.72,111.59,109.25,111.19,1218500,105.46
"2010-12-22",111.05,111.41,110.38,111.25,1223500,105.51
"2010-12-23",110.87,111.78,110.46,110.91,937800,105.19
"2010-12-27",110.18,110.27,108.88,109.82,908100,104.16
"2010-12-28",109.89,110.51,108.87,110.06,845800,104.39
"2010-12-29",110.2,110.69,109.81,110.13,734100,104.45
"2010-12-30",110.19,110.89,109.91,110.16,590900,104.48
"2010-12-31",109.85,111.87,109.09,110.01,1091000,104.34
"2011-01-03",111.08,112.07,110.83,111.75,1585800,105.99
"2011-01-04",112.23,112.25,109,111.6,1944000,105.85
"2011-01-05",110.96,113.66,110.96,112.99,1454500,107.16
"2011-01-06",113.47,113.88,109.98,110.16,2194700,104.48
"2011-01-07",110.61,112.06,109.15,109.78,2097600,104.12
"2011-01-10",109.01,111.77,108.87,111.04,1675700,105.32
"2011-01-11",111.9,113.11,111.01,111.52,1255600,105.77
"2011-01-12",112.9,112.9,111.69,111.83,1025100,106.06
"2011-01-13",111.95,113.25,111.07,112.91,2321500,107.09
"2011-01-14",112.78,113.24,111.47,112.56,1110000,106.76
"2011-01-18",113.31,114.81,112.6,113.85,1203900,107.98
"2011-01-19",113.75,113.91,111.17,111.43,1498500,105.69
"2011-01-20",111.11,112.07,107.78,108.02,3149000,102.45
"2011-01-21",109.18,110.2,103.72,105.05,3592600,99.63
"2011-01-24",105.05,106.31,102.58,106.13,2972700,100.66
"2011-01-25",106.03,107.2,104.7,107.07,2574500,101.55
"2011-01-26",107.8,110.68,107.6,109.61,1974400,103.96
"2011-01-27",110.65,111.92,109.18,109.92,2059700,104.25
"2011-01-28",110.23,110.33,104.96,105.38,2511900,99.95
"2011-01-31",106.7,109.48,105.16,105.88,3892600,100.42
"2011-02-01",106.98,108.32,101.85,107.41,6930700,101.87
"2011-02-02",107,108.65,106.19,106.89,3369400,101.38
"2011-02-03",107.4,107.94,105.5,107.65,3227300,102.1
"2011-02-04",107.67,110.14,107.05,109.69,3489900,104.04
"2011-02-07",110.23,112.14,109.7,111.81,3315800,106.05
"2011-02-08",112.05,112.39,110,111.7,2496100,105.94
"2011-02-09",111.16,112.29,110.22,111.8,2273200,106.04
"2011-02-10",110.54,112.13,109.77,111.14,1678700,105.41
"2011-02-11",110.64,112.25,110.64,111.7,1918900,105.94
"2011-02-14",112.81,114.3,112.36,113.54,2569800,107.69
"2011-02-15",113.5,113.53,111.37,112.65,1924600,106.84
"2011-02-16",113.38,113.8,110.88,110.99,2085100,105.51
"2011-02-17",110.95,112.2,110.33,111.82,1944300,106.3
"2011-02-18",112.18,112.5,109.82,110.04,2374300,104.61
"2011-02-22",107.98,108.18,102.76,103.08,4107200,97.99
"2011-02-23",102.65,102.97,97.2,100.69,6356300,95.72
"2011-02-24",100.73,103.55,99.51,100.87,2813800,95.89
"2011-02-25",102.21,103.05,101.25,102.33,2518000,97.28
"2011-02-28",102.96,103.81,100.8,101.12,2352200,96.13
"2011-03-01",102.38,102.38,98.92,99.92,2032300,94.99
"2011-03-02",99.88,101.93,99.07,100.3,3169300,95.35
"2011-03-03",102.09,104.58,101.56,103.94,2738800,98.81
"2011-03-04",104.2,104.34,101.5,102.5,2348900,97.44
"2011-03-07",102.49,103.07,99.36,99.7,2511100,94.78
"2011-03-08",100.21,101.16,98.62,100.09,2271500,95.15
"2011-03-09",99.64,101,98.7,100.07,1810700,95.13
"2011-03-10",97.98,99.44,95.83,98.65,3450000,93.78
"2011-03-11",97.2,99.3,96.9,98.73,3396800,93.86
"2011-03-14",98.19,99.48,96.6,97.55,2270600,92.74
"2011-03-15",94.16,100.5,93.5,99.93,4868800,95
"2011-03-16",100.09,101.77,97.85,98.93,3181100,94.05
"2011-03-17",101.25,101.95,99.3,99.97,2207200,95.04
