"","APOL.Open","APOL.High","APOL.Low","APOL.Close","APOL.Volume","APOL.Adjusted"
"2010-01-04",61.44,62.22,60.47,61.65,3006400,61.65
"2010-01-05",62.29,62.94,61.36,61.75,4533000,61.75
"2010-01-06",61.75,64.5,61.75,63.7,4897000,63.7
"2010-01-07",64.36,65.72,63.69,63.94,8076000,63.94
"2010-01-08",59.41,61.21,58.38,60.5,11248500,60.5
"2010-01-11",60.35,60.47,58.8,59.97,5075300,59.97
"2010-01-12",59.73,60.17,59.05,59.65,3955800,59.65
"2010-01-13",59.57,60.01,58.8,59.95,2409500,59.95
"2010-01-14",59.5,60.3,59.03,60.24,2017200,60.24
"2010-01-15",60.48,60.48,59.67,60.37,5199300,60.37
"2010-01-19",60.12,60.27,59.07,60.26,3131400,60.26
"2010-01-20",59.5,59.84,58.31,59.33,2008900,59.33
"2010-01-21",60.23,61.88,59.82,60.9,3933100,60.9
"2010-01-22",60.1,62.16,60.05,61.19,2453100,61.19
"2010-01-25",62.01,62.01,60.42,60.9,2137100,60.9
"2010-01-26",60.42,62.19,60,61.88,3612000,61.88
"2010-01-27",62.06,64.6,61.87,64.15,4620000,64.15
"2010-01-28",63.58,63.58,62.3,62.45,2959800,62.45
"2010-01-29",62.8,62.94,60.41,60.59,4562000,60.59
"2010-02-01",60.45,60.75,59.77,60.2,3438400,60.2
"2010-02-02",60.68,60.76,59.9,60.39,2567200,60.39
"2010-02-03",60.18,61.32,59.99,61.08,1744700,61.08
"2010-02-04",60.8,61.09,60.41,60.41,3235900,60.41
"2010-02-05",61,61,59.4,59.93,3252600,59.93
"2010-02-08",59.89,60.24,59.27,59.28,1853500,59.28
"2010-02-09",59.47,59.95,58.7,59.45,2697300,59.45
"2010-02-10",59.22,59.85,58.43,59.46,2297100,59.46
"2010-02-11",59.19,59.29,57.32,58.3,3902800,58.3
"2010-02-12",57.84,59.32,57.73,59.22,2286400,59.22
"2010-02-16",59.36,60.21,59.31,60.16,2213000,60.16
"2010-02-17",60.24,60.85,60.1,60.47,1959600,60.47
"2010-02-18",60.69,61.74,60.4,61.45,2019900,61.45
"2010-02-19",55.32,58.16,55.25,56.92,13381800,56.92
"2010-02-22",56.92,58.1,56.92,57.9,3742900,57.9
"2010-02-23",57.64,59.09,57.64,58.8,3594500,58.8
"2010-02-24",59.16,60,58.83,59.54,2003100,59.54
"2010-02-25",59.29,59.78,58.44,59.69,1895900,59.69
"2010-02-26",59.77,60.23,59.32,59.88,1770500,59.88
"2010-03-01",60.17,60.31,59.62,60,2332700,60
"2010-03-02",59.84,60.17,59.21,59.48,1704100,59.48
"2010-03-03",59.54,61.14,58.76,60.93,3286200,60.93
"2010-03-04",61.23,61.5,60.95,61.17,1694200,61.17
"2010-03-05",61.08,62.59,60.98,62.39,1876100,62.39
"2010-03-08",62.96,62.96,62.08,62.25,1297300,62.25
"2010-03-09",62.07,62.53,62.01,62.13,2221000,62.13
"2010-03-10",61.96,63.54,61.85,63.36,1618900,63.36
"2010-03-11",63.06,63.9,62.89,63.44,1761000,63.44
"2010-03-12",63.39,63.39,62.53,63.02,1573800,63.02
"2010-03-15",62.9,63.53,62.6,63.21,1490300,63.21
"2010-03-16",63.6,64.8,63.22,64.65,1692100,64.65
"2010-03-17",64.58,64.65,63.69,64.01,1601100,64.01
"2010-03-18",64.26,65.69,63.91,64.63,1668200,64.63
"2010-03-19",65.23,65.47,63.98,64.37,2002200,64.37
"2010-03-22",64.47,64.83,63.95,64.47,1616400,64.47
"2010-03-23",64.31,64.48,63.75,63.97,3004800,63.97
"2010-03-24",63.99,64.3,62.95,63.27,1940200,63.27
"2010-03-25",63.32,63.4,62.26,62.43,2136700,62.43
"2010-03-26",62.23,62.67,60.8,61.28,4201700,61.28
"2010-03-29",65,65.04,62.55,63.16,6453500,63.16
"2010-03-30",63.87,63.89,61.61,62.28,2945600,62.28
"2010-03-31",62.19,62.19,61.15,61.29,2533200,61.29
"2010-04-01",61.33,61.89,61.01,61.5,2647100,61.5
"2010-04-05",61.51,62.64,61.45,62.56,2296700,62.56
"2010-04-06",62.09,64.39,62.08,63.76,3224600,63.76
"2010-04-07",64.22,65.24,63.39,64.47,3680800,64.47
"2010-04-08",64.3,64.49,62.8,63,2744700,63
"2010-04-09",63.05,63.21,62.31,63.14,1844500,63.14
"2010-04-12",63.47,63.65,62.28,62.57,1527400,62.57
