"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2010-01-22",53.66,54.07,52.51,52.71,1926800,25.56
"2010-01-25",53.41,53.8,52.93,53.3,1082200,25.85
"2010-01-26",52.93,53.33,52.33,52.52,826800,25.47
"2010-01-27",52.32,52.57,51.48,52.37,1186800,25.4
"2010-01-28",52.43,52.56,50.99,51.15,1464400,24.8
"2010-01-29",51.76,52.56,50.87,50.94,1352400,24.7
"2010-02-01",51.48,52.62,51.25,52.62,1359600,25.52
"2010-02-02",52.69,53.78,52.08,53.22,1338600,25.81
"2010-02-03",52.93,53.48,52.36,52.83,829000,25.62
"2010-02-04",52.26,52.46,50.75,50.8,1518600,24.63
"2010-02-05",51.07,54.31,51.07,53.11,3556800,25.75
"2010-02-08",53.38,54.05,52.44,53.35,2861000,25.87
"2010-02-09",54.2,55.26,53.67,54.91,1978800,26.63
"2010-02-10",54.93,55.24,53.87,54.69,1583600,26.52
"2010-02-11",54.67,56.16,54.39,56.09,1742600,27.2
"2010-02-12",55.36,56.43,54.69,55.68,2200200,27
"2010-02-16",56.26,56.54,55.62,56.48,3018800,27.39
"2010-02-17",56.88,57.25,56.29,56.98,1529000,27.63
"2010-02-18",56.74,57.45,56.63,57.27,1317200,27.77
"2010-02-19",57,57.56,56.96,57.39,1594000,27.83
"2010-02-22",57.68,57.68,56.23,56.79,1511000,27.54
"2010-02-23",56.38,56.91,55.75,55.94,1464000,27.13
"2010-02-24",56.31,56.9,55.68,56.32,1451600,27.31
"2010-02-25",55.33,56.08,55.01,56.03,1515800,27.17
"2010-02-26",56.24,57.48,56.24,57.17,1618600,27.72
"2010-03-01",57.05,57.73,56.5,57.73,1757000,27.99
"2010-03-02",58.09,58.81,58,58.41,1667000,28.32
"2010-03-03",58.74,59.6,58.57,58.66,2298600,28.45
"2010-03-04",58.88,59,58.3,58.79,1602400,28.51
"2010-03-05",59.28,59.92,59.1,59.81,1094600,29
"2010-03-08",59.85,60.22,59.27,59.55,863400,28.88
"2010-03-09",59.23,60.04,59.1,59.46,913600,28.83
"2010-03-10",59.5,59.8,58.88,59.47,881400,28.84
"2010-03-11",59.23,59.66,58.66,59.66,845400,28.93
"2010-03-12",60.07,60.82,59.89,60.3,1093600,29.24
"2010-03-15",60.3,60.6,59.62,59.99,574800,29.09
"2010-03-16",59.85,60.27,59.76,60.26,954200,29.22
"2010-03-17",60.53,60.69,60.12,60.53,593400,29.35
"2010-03-18",60.6,60.83,59.98,60.42,580200,29.3
"2010-03-19",60.5,60.86,59.51,59.99,1503600,29.09
"2010-03-22",59.49,60.67,59.25,60.61,1125600,29.39
"2010-03-23",60.76,61.42,60.45,61.42,701800,29.78
"2010-03-24",61.19,62.24,60.83,61.65,1274800,29.9
"2010-03-25",61.97,62.19,60.38,60.44,946400,29.31
"2010-03-26",60.56,61.09,59.9,60.3,1022000,29.24
"2010-03-29",60.39,60.74,60.18,60.45,792600,29.37
"2010-03-30",60.61,61.71,60.61,61.4,1541000,29.84
"2010-03-31",61.12,61.45,60.31,60.54,1201800,29.42
"2010-04-01",60.95,61.47,60.4,61.16,984600,29.72
"2010-04-05",61.31,62.27,60.91,62.25,1295400,30.25
"2010-04-06",62.26,63.33,62.06,63.25,1353000,30.74
"2010-04-07",63.15,64.01,63,63.51,1647200,30.86
"2010-04-08",63.36,63.66,62.93,63.42,1949200,30.82
