"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2009-08-21",54.42,55.25,53.98,54.46,4809600,50.82
"2009-08-24",54.91,55.73,53.25,53.66,5312700,50.07
"2009-08-25",53.73,54.4,51.39,52.05,6292400,48.57
"2009-08-26",51.9,52.65,51.23,51.68,3933600,48.22
"2009-08-27",51.4,51.8,50.52,51.38,3335400,47.94
"2009-08-28",50.39,50.69,49.2,49.81,6980700,46.48
"2009-08-31",48.67,49.25,48.24,48.47,4061100,45.23
"2009-09-01",48.37,50.79,48.15,49.41,8474300,46.11
"2009-09-02",50.1,51.19,48.75,50.65,6280800,47.26
"2009-09-03",51.25,51.36,50.25,50.87,3266200,47.47
"2009-09-04",50.71,51.7,50.5,51.36,2889800,47.93
"2009-09-08",51.97,52.99,51.9,52.33,4136300,48.83
"2009-09-09",52.55,52.71,51,51.59,4086700,48.14
"2009-09-10",50.72,51.13,49.68,50.72,5213600,47.33
"2009-09-11",51.51,53.06,51.49,52.26,7062600,48.77
"2009-09-14",50.31,51.87,50.16,51.54,4609400,48.09
"2009-09-15",52.1,53.91,51.96,53.67,6663900,50.08
"2009-09-16",53.9,54.25,52.54,53.04,5462900,49.49
"2009-09-17",52.61,54.75,52.56,53.73,5392700,50.14
"2009-09-18",52.89,54.7,52.89,54.25,4459800,50.62
"2009-09-21",51.78,52.2,50.9,51.41,7337500,47.97
"2009-09-22",52.26,53.23,51.52,51.91,5139000,48.44
"2009-09-23",51.97,52.17,50.18,50.4,6248000,47.03
"2009-09-24",50.67,51.85,50.01,50.4,5016300,47.03
"2009-09-25",50.1,50.35,49.01,49.21,4011000,45.92
"2009-09-28",49.25,49.85,49.05,49.54,4022000,46.23
"2009-09-29",49.73,50,48.65,48.77,3894600,45.51
"2009-09-30",49.04,49.18,47.7,48.07,5135800,44.86
"2009-10-01",48.14,48.24,46.26,46.43,7137300,43.33
"2009-10-02",45.69,46.95,45.11,46.18,4296700,43.09
"2009-10-05",46.84,46.84,45,45.96,7777300,42.89
"2009-10-06",47.69,48.99,47.35,47.89,8868500,44.69
"2009-10-07",48.55,48.58,47.46,48.24,4790000,45.01
"2009-10-08",49.17,50.06,49,49.66,7572000,46.34
"2009-10-09",48.96,50.41,48.95,49.24,4458200,45.95
"2009-10-12",49.74,50.18,48.35,49.26,4376800,45.97
"2009-10-13",49.25,49.66,48.5,49.05,3376000,45.77
"2009-10-14",50,51.09,49.8,50.44,5987300,47.07
"2009-10-15",50.23,50.94,50.04,50.67,3327900,47.28
"2009-10-16",50.18,52.07,50.12,51.61,6565300,48.16
"2009-10-19",52.41,53.99,52,53.63,7700000,50.04
"2009-10-20",53.87,53.91,52.25,53.21,4505900,49.65
"2009-10-21",52.49,54.98,52.3,53.3,6360400,49.74
"2009-10-22",52.91,54.1,52.01,53.22,6542800,49.66
"2009-10-23",53.39,53.9,51.56,51.79,4679000,48.33
"2009-10-26",52.04,52.89,49.36,49.88,8882900,46.54
