"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2008-02-08",51,51.8,50.31,50.87,4149600,12.72
"2008-02-11",53.06,55.94,53.06,54.8,15560400,13.7
"2008-02-12",55.24,55.38,53.87,54.45,5378800,13.61
"2008-02-13",55.34,56.49,55,55.93,5797600,13.98
"2008-02-14",56.06,56.5,55,55.14,4885200,13.78
"2008-02-15",54.94,55.17,53.1,53.84,4433200,13.46
"2008-02-19",54.75,54.75,51.28,51.47,6544000,12.87
"2008-02-20",51.13,53.4,51,53.13,3386000,13.28
"2008-02-21",53.48,54.18,52.51,53.52,4098400,13.38
"2008-02-22",53.98,53.98,51.57,52.34,5120000,13.09
"2008-02-25",52.3,54.85,52.3,54.41,5298400,13.6
"2008-02-26",53.6,54.34,52.76,52.76,5182400,13.19
"2008-02-27",52.49,53.99,50.38,52.62,12299200,13.15
"2008-02-28",58.22,63.47,57.54,61.66,35617200,15.41
"2008-02-29",60.69,61.79,59.2,59.72,10393200,14.93
"2008-03-03",59.99,60.7,58.17,58.77,8893600,14.69
"2008-03-04",58.69,58.99,57.12,57.88,8353600,14.47
"2008-03-05",58.23,59.55,57.67,59.01,11409600,14.75
"2008-03-06",58.79,59,57.44,57.74,6342800,14.44
"2008-03-07",56.73,58.31,55.64,56.66,7043200,14.16
"2008-03-10",57.16,57.79,55.37,56.08,4948800,14.02
"2008-03-11",57.08,58.67,55.93,58.45,7974800,14.61
"2008-03-12",58.59,60.22,57.64,58.21,9142400,14.55
"2008-03-13",57.2,59.6,56.22,58.91,7772400,14.73
"2008-03-14",59.6,60,57.23,57.85,7786400,14.46
"2008-03-17",56,57.17,54.18,55.51,10104800,13.88
"2008-03-18",56.75,58.9,56.75,58.61,7215200,14.65
"2008-03-19",58.38,59,56.61,56.61,5293200,14.15
"2008-03-20",56.61,56.97,54.84,55.83,9169600,13.96
"2008-03-24",55.9,60,55.9,59.64,6342800,14.91
"2008-03-25",59.28,61.58,59.28,60.96,4518000,15.24
"2008-03-26",60.59,61.9,58.78,59.24,4721200,14.81
"2008-03-27",59.74,59.74,56.3,56.63,6310800,14.16
"2008-03-28",56.8,58.55,56.6,56.85,4163600,14.21
"2008-03-31",56.07,58.22,55.54,57.87,5601200,14.47
"2008-04-01",58.5,61.66,58.48,61.22,7598400,15.31
"2008-04-02",61.5,66.09,61.2,62.3,11778800,15.57
"2008-04-03",61.91,64.24,60.28,62.8,7202400,15.7
"2008-04-04",63.2,65.88,61.68,65.12,9610400,16.28
"2008-04-07",65.99,66.48,64.54,65.05,7331600,16.26
"2008-04-08",65.05,65.53,63.64,63.83,7585600,15.96
"2008-04-09",62.01,63.6,60.73,63.26,8508400,15.81
"2008-04-10",63.19,66.06,62.49,65.63,6357600,16.41
"2008-04-11",65,65,61.09,61.09,6828000,15.27
"2008-04-14",61.98,62.41,58.7,60.1,11274000,15.02
"2008-04-15",59.76,61.24,58.5,59.35,7210400,14.84
"2008-04-16",59.5,62.49,59.5,61.57,9308400,15.39
"2008-04-17",60.62,62.43,60.21,62.2,6904000,15.55
"2008-04-18",64.9,65.55,63.75,63.9,10350400,15.98
"2008-04-21",63.62,63.62,62.18,62.72,6328400,15.68
"2008-04-22",62.58,62.86,60.5,61.34,4835200,15.34
"2008-04-23",61.78,67.75,61.3,67.57,11672400,16.89
"2008-04-24",68,69.65,65.66,68.28,9044800,17.07
"2008-04-25",67.44,69.01,66.26,68.09,3371200,17.02
"2008-04-28",68.34,69.36,67.37,67.46,4645200,16.86
"2008-04-29",67.32,68.45,66.51,66.95,3876800,16.74
"2008-04-30",66.94,69.25,66.5,66.73,5560800,16.68
"2008-05-01",67.28,67.97,65.25,67.29,5660400,16.82
"2008-05-02",68,68,66.68,67.3,4578400,16.83
"2008-05-05",66.39,69.91,66.39,69.37,5538000,17.34
"2008-05-06",69.2,71.14,68.37,70.17,5860400,17.54
"2008-05-07",70.27,70.41,66.53,66.81,6488800,16.7
"2008-05-08",67.45,67.64,66.07,67.57,4138400,16.89
"2008-05-09",67.41,68.2,66.41,66.7,3507200,16.67
"2008-05-12",66.74,68.15,65.22,67.62,5706400,16.91
"2008-05-13",67.73,68.9,66.92,67.95,6456000,16.99
"2008-05-14",67.81,69.9,67.81,69.4,11976400,17.35
"2008-05-15",69.1,69.71,67.3,69.22,8154000,17.31
"2008-05-16",69.22,69.22,67.96,68.7,8183200,17.17
"2008-05-19",68.56,69,66.07,66.28,8870400,16.57
"2008-05-20",65.74,65.74,62.4,62.8,12602400,15.7
"2008-05-21",63.27,63.83,61.43,62.66,13133600,15.66
"2008-05-22",63.48,68.97,63.05,66.31,23101600,16.58
"2008-05-23",66.5,67.69,65.68,67.02,7162800,16.75
